name	* Description	version	spawnable	rare	level	maxlevel	levelreq	classspecific	class	classlevelreq	frequency	group	mod1code	mod1param	mod1min	mod1max	mod2code	mod2param	mod2min	mod2max	mod3code	mod3param	mod3min	mod3max	transformcolor	itype1	itype2	itype3	itype4	itype5	itype6	itype7	etype1	etype2	etype3	etype4	etype5	multiply	add
of Defense1	+# Defense & +#% Enhanced Damage	100	1	1	8		7				1	61	ac		5	10										ring	amul											0	0
of Defense1	+# Defense & +#% Enhanced Damage	100	1	1	23		23				1	61	ac		11	25										ring	amul											0	0
of Guarding	+# Defense & +#% Enhanced Damage	100	1	1	36	50	39				1	61	ac		26	50										ring	amul											0	0
of Guarding	+# Defense & +#% Enhanced Damage	100	1	1	51		39				1	61	ac		26	50										ring	amul											0	0
of Craftsmanship	+# to Maximum Damage	100	1	1	1	55	1				1	14	dmg-max		1	2										amul	ring											0	0
of Craftsmanship	+# to Maximum Damage	100	1	1	15		16				1	14	dmg-max		3	4										amul	ring											0	0
of Quality	+# to Maximum Damage	100	1	1	37		42				1	14	dmg-max		5	7										amul	ring											0	0
of Quality	+# to Maximum Damage	100	1	1	54	76	52				1	14	dmg-max		8	10										amul	ring											0	0
of Quality	+# to Maximum Damage	100	1	1	77		52				1	14	dmg-max		8	10										amul	ring											0	0
of Craftsmanship	+# to Maximum Damage	100	1	1	1	20	1				1	14	dmg-max		1	2										weap							wand	orb				0	0
of Quality	+# to Maximum Damage	100	1	1	3	30	3				1	14	dmg-max		3	4										weap							wand	orb				0	0
of Maiming	+# to Maximum Damage	100	1	1	5	40	4				1	14	dmg-max		5	6										weap							wand	orb				0	0
of Slaying	+# to Maximum Damage	100	1	1	8	55	7				1	14	dmg-max		7	8										weap							wand	orb				0	0
of Gore	+# to Maximum Damage	100	1	1	10	65	9				1	14	dmg-max		9	10										weap							wand	orb				0	0
of Carnage	+# to Maximum Damage	100	1	1	13	80	12				1	14	dmg-max		11	14									blac	weap							wand	orb				0	0
of Slaughter	+# to Maximum Damage	100	1	1	18		15				1	14	dmg-max		15	20									blac	weap							wand	orb				0	0
of Butchery	+# to Maximum Damage	100	1	1	25		23				1	14	dmg-max		21	40									blac	weap							wand	orb				0	0
of Evisceration	+# to Maximum Damage	100	1	1	31	44	31				1	14	dmg-max		41	63									blac	weap							wand	orb				0	0
of Evisceration	+# to Maximum Damage	100	1	1	45		31				1	14	dmg-max		41	63									blac	weap							wand	orb				0	0
of Evisceration	+# to Maximum Damage	100	1	1	42		43				1	14	dmg-max		64	80									blac	weap							wand	staf	orb			0	0
of Evisceration	+# to Maximum Damage	100	1	1	51		55				1	14	dmg-max		81	100									blac	weap							wand	staf	orb			0	0
of Evisceration	+# to Maximum Damage	100	1	1	59	84	67				1	14	dmg-max		101	120									blac	weap							wand	staf	orb			0	0
of Evisceration	+# to Maximum Damage	100	1	1	85		67				1	14	dmg-max		101	120									blac	weap							wand	staf	orb			0	0
of Maiming	+# to Maximum Damage	100	1	1	29		29				1	14	dmg-max		1	4										shld												0	0
of Maiming	+# to Maximum Damage	100	1	1	46		43				1	14	dmg-max		5	8										shld												0	0
of Maiming	+# to Maximum Damage	100	1	1	56	79	58				1	14	dmg-max		9	12										shld												0	0
of Maiming	+# to Maximum Damage	100	1	1	80		58				1	14	dmg-max		9	12										shld												0	0
of Craftsmanship	+# to Maximum Damage	100	1	1	1	7	1				1	14	dmg-max		1	2										circ												0	0
of Craftsmanship	+# to Maximum Damage	100	1	1	8	14	9				1	14	dmg-max		2	3										circ												0	0
of Craftsmanship	+# to Maximum Damage	100	1	1	17	29	19				1	14	dmg-max		4	5										circ												0	0
of Quality	+# to Maximum Damage	100	1	1	26		30				1	14	dmg-max		6	7										circ												0	0
of Quality	+# to Maximum Damage	100	1	1	34		39				1	14	dmg-max		8	9										circ												0	0
of Maiming	+# to Maximum Damage	100	1	1	46		53				1	14	dmg-max		10	12										circ												0	0
of Maiming	+# to Maximum Damage	100	1	1	55	78	63				1	14	dmg-max		13	15										circ												0	0
of Maiming	+# to Maximum Damage	100	1	1	79		63				1	14	dmg-max		13	15										circ												0	0
of Ire	+# to Maximum Damage	100	1	1	3		3				1	14	dmg-max		2	5										jewl												0	0
of Wrath	+# to Maximum Damage	100	1	1	11		9				1	14	dmg-max		6	9									blac	jewl												0	0
of Carnage	+# to Maximum Damage	100	1	1	25		26				1	14	dmg-max		10	15									blac	jewl												0	0
of Carnage	+# to Maximum Damage	100	1	1	47	66	47				1	14	dmg-max		16	20									blac	jewl												0	0
of Carnage	+# to Maximum Damage	100	1	1	67		47				1	14	dmg-max		16	20									blac	jewl												0	0
of Worth	+# to Minimum Damage	100	1	1	1	20	1				1	15	dmg-min		1	2										weap							orb	wand				0	0
of Measure	+# to Minimum Damage	100	1	1	8	30	8				1	15	dmg-min		3	4										weap							orb	wand				0	0
of Excellence	+# to Minimum Damage	100	1	1	17	45	15				1	15	dmg-min		5	8										weap							orb	wand				0	0
of Performance	+# to Minimum Damage	100	1	1	34	55	34				1	15	dmg-min		9	14									blac	weap							orb	wand				0	0
of Transcendence	+# to Minimum Damage	100	1	1	53	65	58				1	15	dmg-min		15	20									blac	weap							orb	wand				0	0
of Transcendence	+# to Minimum Damage	100	1	1	57		64				1	15	dmg-min		30	40									blac	weap							orb	wand				0	0
of Transcendence	+# to Minimum Damage	100	1	1	59	84	71				1	15	dmg-min		50	60									blac	weap							orb	wand				0	0
of Transcendence	+# to Minimum Damage	100	1	1	85		71				1	15	dmg-min		50	60									blac	weap							orb	wand				0	0
of Worth	+# to Minimum Damage	100	1	1	11		9				1	15	dmg-min		2	3										ring	amul	circ										0	0
of Measure	+# to Minimum Damage	100	1	1	26		25				1	15	dmg-min		4	5										ring	amul	circ										0	0
of Excellence	+# to Minimum Damage	100	1	1	41		43				1	15	dmg-min		6	9										ring	amul	circ										0	0
of Performance	+# to Minimum Damage	100	1	1	57	80	62				1	15	dmg-min		10	13										ring	amul	circ										0	0
of Performance	+# to Minimum Damage	100	1	1	81		62				1	15	dmg-min		10	13										ring	amul	circ										0	0
of Joyfulness	+# to Minimum Damage	100	1	1	4	50	3				1	15	dmg-min		1	4									whit	jewl												0	0
of Bliss	+# to Minimum Damage	100	1	1	30	42	31				1	15	dmg-min		5	10									whit	jewl												0	0
of Bliss	+# to Minimum Damage	100	1	1	43		31				1	15	dmg-min		5	10									whit	jewl												0	0
of Frost	+# to Minimum Cold Damage & +# to Maximum Cold Damage & Cold Length # of Frames (25 Frames = 1 Second)	100	1	1	3	35	3				1	10	cold-min		1	1	cold-max		1	2	cold-len		50	50		weap							wand	orb				0	0
of the Icicle	+# to Minimum Cold Damage & +# to Maximum Cold Damage & Cold Length # of Frames (25 Frames = 1 Second)	100	1	1	9	50	8				1	10	cold-min		1	1	cold-max		3	4	cold-len		75	75		weap							wand	orb				0	0
of the Glacier	+# to Minimum Cold Damage & +# to Maximum Cold Damage & Cold Length # of Frames (25 Frames = 1 Second)	100	1	1	19	70	17				1	10	cold-min		2	4	cold-max		4	15	cold-len		100	100	dblu	weap							wand	orb				0	0
of Winter	+# to Minimum Cold Damage & +# to Maximum Cold Damage & Cold Length # of Frames (25 Frames = 1 Second)	100	1	1	31		31				1	10	cold-min		5	9	cold-max		16	50	cold-len		150	150	dblu	weap							wand	orb				0	0
of Winter	+# to Minimum Cold Damage & +# to Maximum Cold Damage & Cold Length # of Frames (25 Frames = 1 Second)	100	1	1	42		43				1	10	cold-min		20	30	cold-max		75	100	cold-len		150	150	dblu	weap							wand	orb				0	0
of Winter	+# to Minimum Cold Damage & +# to Maximum Cold Damage & Cold Length # of Frames (25 Frames = 1 Second)	100	1	1	56	79	64				1	10	cold-min		35	45	cold-max		100	150	cold-len		150	150	dblu	weap							wand	orb				0	0
of Winter	+# to Minimum Cold Damage & +# to Maximum Cold Damage & Cold Length # of Frames (25 Frames = 1 Second)	100	1	1	80		64				1	10	cold-min		35	45	cold-max		100	150	cold-len		150	150	dblu	weap							wand	orb				0	0
of Frost	+# to Minimum Cold Damage & +# to Maximum Cold Damage & Cold Length # of Frames (25 Frames = 1 Second)	100	1	1	39		35				1	10	cold-min		1	1	cold-max		3	6	cold-len		75	75	dblu	belt	amul											0	0
of Frigidity	+# to Minimum Cold Damage & +# to Maximum Cold Damage & Cold Length # of Frames (25 Frames = 1 Second)	100	1	1	46		47				1	10	cold-min		1	1	cold-max		7	10	cold-len		100	100	dblu	belt	amul											0	0
of the Icicle	+# to Minimum Cold Damage & +# to Maximum Cold Damage & Cold Length # of Frames (25 Frames = 1 Second)	100	1	1	53		58				1	10	cold-min		2	3	cold-max		11	15	cold-len		125	125	dblu	belt	amul											0	0
of the Glacier	+# to Minimum Cold Damage & +# to Maximum Cold Damage & Cold Length # of Frames (25 Frames = 1 Second)	100	1	1	59	84	69				1	10	cold-min		4	5	cold-max		16	25	cold-len		150	150	dblu	belt	amul											0	0
of the Glacier	+# to Minimum Cold Damage & +# to Maximum Cold Damage & Cold Length # of Frames (25 Frames = 1 Second)	100	1	1	85		69				1	10	cold-min		4	5	cold-max		16	25	cold-len		150	150	dblu	belt	amul											0	0
of Frigidity	+# to Minimum Cold Damage & +# to Maximum Cold Damage & Cold Length # of Frames (25 Frames = 1 Second)	100	1	1	11		10				1	10	cold-min		1	1	cold-max		3	5	cold-len		50	50	dblu	jewl												0	0
of the Icicle	+# to Minimum Cold Damage & +# to Maximum Cold Damage & Cold Length # of Frames (25 Frames = 1 Second)	100	1	1	26		25				1	10	cold-min		2	3	cold-max		6	10	cold-len		75	75	dblu	jewl												0	0
of the Glacier	+# to Minimum Cold Damage & +# to Maximum Cold Damage & Cold Length # of Frames (25 Frames = 1 Second)	100	1	1	41	57	43				1	10	cold-min		4	5	cold-max		11	15	cold-len		100	100	dblu	jewl												0	0
of the Glacier	+# to Minimum Cold Damage & +# to Maximum Cold Damage & Cold Length # of Frames (25 Frames = 1 Second)	100	1	1	58		43				1	10	cold-min		4	5	cold-max		11	15	cold-len		100	100	dblu	jewl												0	0
of Flame	+# to Minimum Fire Damage & +# to Maximum Fire Damage	100	1	1	3	35	3				1	12	fire-min		1	1	fire-max		2	5						weap							wand	orb				0	0
of Fire	+# to Minimum Fire Damage & +# to Maximum Fire Damage	100	1	1	11	50	9				1	12	fire-min		1	4	fire-max		6	11						weap							wand	orb				0	0
of Burning	+# to Minimum Fire Damage & +# to Maximum Fire Damage	100	1	1	18	70	15				1	12	fire-min		5	9	fire-max		10	20					dred	weap							wand	orb				0	0
of Incineration	+# to Minimum Fire Damage & +# to Maximum Fire Damage	100	1	1	30		30				1	12	fire-min		10	20	fire-max		21	75					dred	weap							wand	orb				0	0
of Incineration	+# to Minimum Fire Damage & +# to Maximum Fire Damage	100	1	1	42		43				1	12	fire-min		40	60	fire-max		170	200					dred	weap							wand	orb				0	0
of Incineration	+# to Minimum Fire Damage & +# to Maximum Fire Damage	100	1	1	56	79	64				1	12	fire-min		75	100	fire-max		200	250					dred	weap							wand	orb				0	0
of Incineration	+# to Minimum Fire Damage & +# to Maximum Fire Damage	100	1	1	80		64				1	12	fire-min		75	100	fire-max		200	250					dred	weap							wand	orb				0	0
of Flame	+# to Minimum Fire Damage & +# to Maximum Fire Damage	100	1	1	28		26				1	12	fire-min		1	1	fire-max		2	5					dred	glov	ring	amul										0	0
of Passion	+# to Minimum Fire Damage & +# to Maximum Fire Damage	100	1	1	39		43				1	12	fire-min		1	3	fire-max		6	10					dred	glov	ring	amul										0	0
