side	sample_item	alvl	baseline_line	name	group	mods	baseline_freq	current_matching_freq	baseline_pool_weight	current_non_greater_pool_weight	current_full_pool_weight	current_greater_pool_weight	baseline_per_roll	after_non_greater_only_per_roll	after_with_greater_per_roll	non_greater_delta_pct	with_greater_delta_pct
prefix	abow	20	2	Jagged	111	dmg% 10-20	150	1500	1046	12810	12810	0	0.14340344168260039	0.117096018735363	0.117096018735363	-18.34504293520687	-18.34504293520687
prefix	abow	20	3	Deadly	111	dmg% 21-30	150	1500	1046	12810	12810	0	0.14340344168260039	0.117096018735363	0.117096018735363	-18.34504293520687	-18.34504293520687
prefix	abow	20	4	Vicious	111	dmg% 31-40	150	1500	1046	12810	12810	0	0.14340344168260039	0.117096018735363	0.117096018735363	-18.34504293520687	-18.34504293520687
prefix	abow	20	5	Brutal	111	dmg% 41-50	150	1500	1046	12810	12810	0	0.14340344168260039	0.117096018735363	0.117096018735363	-18.34504293520687	-18.34504293520687
prefix	abow	20	6	Massive	111	dmg% 51-65	150	1500	1046	12810	12810	0	0.14340344168260039	0.117096018735363	0.117096018735363	-18.34504293520687	-18.34504293520687
prefix	abow	20	22	Paradox	111	dmg%/lvl(8) -	2	20	1046	12810	12810	0	0.0019120458891013384	0.00156128024980484	0.00156128024980484	-18.34504293520687	-18.34504293520687
prefix	abow	20	27	Sharp	111	att 10-20; dmg% 10-20	4	40	1046	12810	12810	0	0.0038240917782026767	0.00312256049960968	0.00312256049960968	-18.34504293520687	-18.34504293520687
prefix	abow	20	28	Sharp	111	deadly 1-3; dmg% 10-20	2	20	1046	12810	12810	0	0.0019120458891013384	0.00156128024980484	0.00156128024980484	-18.34504293520687	-18.34504293520687
prefix	abow	20	29	Sharp	111	crush 1-3; dmg% 10-20	2	20	1046	12810	12810	0	0.0019120458891013384	0.00156128024980484	0.00156128024980484	-18.34504293520687	-18.34504293520687
prefix	abow	20	30	Sharp	111	openwounds 5-7; dmg% 10-20	2	20	1046	12810	12810	0	0.0019120458891013384	0.00156128024980484	0.00156128024980484	-18.34504293520687	-18.34504293520687
prefix	abow	20	31	Fine	111	att 21-40; dmg% 21-30	4	40	1046	12810	12810	0	0.0038240917782026767	0.00312256049960968	0.00312256049960968	-18.34504293520687	-18.34504293520687
prefix	abow	20	32	Fine	111	deadly 2-5; dmg% 21-30	2	20	1046	12810	12810	0	0.0019120458891013384	0.00156128024980484	0.00156128024980484	-18.34504293520687	-18.34504293520687
prefix	abow	20	33	Fine	111	crush 2-5; dmg% 21-30	2	20	1046	12810	12810	0	0.0019120458891013384	0.00156128024980484	0.00156128024980484	-18.34504293520687	-18.34504293520687
prefix	abow	20	34	Fine	111	openwounds 8-10; dmg% 21-30	2	20	1046	12810	12810	0	0.0019120458891013384	0.00156128024980484	0.00156128024980484	-18.34504293520687	-18.34504293520687
prefix	abow	20	35	Mastersmith's	111	att 41-60; dmg% 31-40	4	40	1046	12810	12810	0	0.0038240917782026767	0.00312256049960968	0.00312256049960968	-18.34504293520687	-18.34504293520687
prefix	abow	20	36	Mastersmith's	111	deadly 3-6; dmg% 31-40	2	20	1046	12810	12810	0	0.0019120458891013384	0.00156128024980484	0.00156128024980484	-18.34504293520687	-18.34504293520687
prefix	abow	20	37	Mastersmith's	111	crush 3-6; dmg% 31-40	2	20	1046	12810	12810	0	0.0019120458891013384	0.00156128024980484	0.00156128024980484	-18.34504293520687	-18.34504293520687
prefix	abow	20	38	Mastersmith's	111	openwounds 11-16; dmg% 31-40	2	20	1046	12810	12810	0	0.0019120458891013384	0.00156128024980484	0.00156128024980484	-18.34504293520687	-18.34504293520687
