side	source_file	line	name	description	spawnable	rare	phase1_scope	group	frequency	level_before	level_after	level_delta	maxlevel_before	maxlevel_after	maxlevel_delta	levelreq_before	levelreq_after	levelreq_delta	mods	itypes	etypes
prefix	magicprefix.txt	2	Jagged	+#% Enhanced Damage	1	1	yes	111	150	1	1	0	24	17	-7	1	1	0	dmg% 10-20	weap	orb, wand
prefix	magicprefix.txt	3	Deadly	+#% Enhanced Damage	1	1	yes	111	150	5	4	-1	34	24	-10	3	3	0	dmg% 21-30	weap	orb, wand
prefix	magicprefix.txt	4	Vicious	+#% Enhanced Damage	1	1	yes	111	150	8	6	-2	44	31	-13	6	5	-1	dmg% 31-40	weap	orb, wand
prefix	magicprefix.txt	5	Brutal	+#% Enhanced Damage	1	1	yes	111	150	14	10	-4	53	37	-16	10	9	-1	dmg% 41-50	weap	orb, wand
prefix	magicprefix.txt	6	Massive	+#% Enhanced Damage	1	1	yes	111	150	20	14	-6	64	45	-19	15	13	-2	dmg% 51-65	weap	orb, wand
prefix	magicprefix.txt	7	Savage	+#% Enhanced Damage	1	1	yes	111	150	26	18	-8	72	50	-22	19	16	-3	dmg% 66-80	weap	orb, wand
prefix	magicprefix.txt	8	Heartless	+#% Enhanced Damage	1	1	yes	111	150	32	22	-10	80	56	-24	24	20	-4	dmg% 81-100	weap	orb, wand
prefix	magicprefix.txt	9	Merciless	+#% Enhanced Damage	1	1	yes	111	150	41	29	-12				30	26	-4	dmg% 101-125	weap	orb, wand
prefix	magicprefix.txt	10	Merciless	+#% Enhanced Damage	1	1	yes	111	150	49	34	-15				38	32	-6	dmg% 126-150	weap	orb, wand
prefix	magicprefix.txt	11	Ferocious	+#% Enhanced Damage	1	1	yes	111	114	56	39	-17				45	38	-7	dmg% 151-200	weap	orb, wand
prefix	magicprefix.txt	12	Ferocious	+#% Enhanced Damage	1	1	yes	111	114	61	43	-18				51	43	-8	dmg% 210-233	weap	orb, wand
prefix	magicprefix.txt	13	Cruel	+#% Enhanced Damage	1	1	yes	111	114	69	48	-21				63	54	-9	dmg% 234-266	weap	orb, wand
prefix	magicprefix.txt	14	Cruel	+#% Enhanced Damage	1	1	yes	111	114	74	52	-22				69	59	-10	dmg% 267-300	weap	orb, wand
prefix	magicprefix.txt	15	Jagged	+#% Enhanced Damage	1	1	yes	105	26	21	15	-6				16	14	-2	dmg% 10-15	circ	
prefix	magicprefix.txt	16	Deadly	+#% Enhanced Damage	1	1	yes	105	26	45	31	-14				41	35	-6	dmg% 16-25	circ	
prefix	magicprefix.txt	17	Vicious	+#% Enhanced Damage	1	1	yes	105	24	70	49	-21				64	54	-10	dmg% 26-40	circ	
prefix	magicprefix.txt	18	Cinnabar	+#% Enhanced Damage	1	1	yes	105	10	1	1	0	40	28	-12	1	1	0	dmg% 5-10	jewl	
prefix	magicprefix.txt	19	Rusty	+#% Enhanced Damage	1	1	yes	105	10	13	9	-4	80	56	-24	9	8	-1	dmg% 11-20	jewl	
prefix	magicprefix.txt	20	Realgar	+#% Enhanced Damage	1	1	yes	105	10	45	31	-14				37	31	-6	dmg% 21-30	jewl	
prefix	magicprefix.txt	21	Ruby	+#% Enhanced Damage	1	1	yes	105	10	66	46	-20				58	49	-9	dmg% 31-40	jewl	
prefix	magicprefix.txt	22	Paradox	+#% Enhanced Maximum Damage (Based on Character Level)	1	1	yes	111	2	20	14	-6				18	15	-3	dmg%/lvl(8) -	weap	orb, wand
prefix	magicprefix.txt	23	Paradox	+#% Enhanced Maximum Damage (Based on Character Level)	1	1	yes	111	2	35	25	-10				35	30	-5	dmg%/lvl(12) -	weap	orb, wand
prefix	magicprefix.txt	24	Paradox	+#% Enhanced Maximum Damage (Based on Character Level)	1	1	yes	111	2	55	39	-16				49	42	-7	dmg%/lvl(16) -	weap	orb, wand
prefix	magicprefix.txt	25	Paradox	+#% Enhanced Maximum Damage (Based on Character Level)	1	1	yes	111	2	70	49	-21				66	56	-10	dmg%/lvl(24) -	weap	orb, wand
prefix	magicprefix.txt	26	Paradox	+#% Enhanced Maximum Damage (Based on Character Level)	1	1	yes	111	2	85	59	-26				77	65	-12	dmg%/lvl(32) -	weap	orb, wand
prefix	magicprefix.txt	27	Sharp	+# to Attack Rating & +#% Enhanced Damage	1	1	yes	111	4	5	4	-1	20	14	-6	3	3	0	att 10-20; dmg% 10-20	weap	orb, wand
prefix	magicprefix.txt	28	Sharp	#% Deadly Strike & +#% Enhanced Damage	1	1	yes	111	2	5	4	-1	20	14	-6	3	3	0	deadly 1-3; dmg% 10-20	weap	orb, wand
prefix	magicprefix.txt	29	Sharp	#% Crushing Blow & +#% Enhanced Damage	1	1	yes	111	2	5	4	-1	20	14	-6	3	3	0	crush 1-3; dmg% 10-20	weap	orb, wand
prefix	magicprefix.txt	30	Sharp	#% Open Wounds & +#% Enhanced Damage	1	1	yes	111	2	5	4	-1	20	14	-6	3	3	0	openwounds 5-7; dmg% 10-20	weap	orb, wand
prefix	magicprefix.txt	31	Fine	+# to Attack Rating & +#% Enhanced Damage	1	1	yes	111	4	12	8	-4	30	21	-9	9	8	-1	att 21-40; dmg% 21-30	weap	orb, wand
prefix	magicprefix.txt	32	Fine	#% Deadly Strike & +#% Enhanced Damage	1	1	yes	111	2	12	8	-4	30	21	-9	9	8	-1	deadly 2-5; dmg% 21-30	weap	orb, wand
prefix	magicprefix.txt	33	Fine	#% Crushing Blow & +#% Enhanced Damage	1	1	yes	111	2	12	8	-4	30	21	-9	9	8	-1	crush 2-5; dmg% 21-30	weap	orb, wand
prefix	magicprefix.txt	34	Fine	#% Open Wounds & +#% Enhanced Damage	1	1	yes	111	2	12	8	-4	30	21	-9	9	8	-1	openwounds 8-10; dmg% 21-30	weap	orb, wand
prefix	magicprefix.txt	35	Mastersmith's	+# to Attack Rating & +#% Enhanced Damage	1	1	yes	111	4	19	13	-6	40	28	-12	13	11	-2	att 41-60; dmg% 31-40	weap	orb, wand
prefix	magicprefix.txt	36	Mastersmith's	#% Deadly Strike & +#% Enhanced Damage	1	1	yes	111	2	19	13	-6	40	28	-12	13	11	-2	deadly 3-6; dmg% 31-40	weap	orb, wand
prefix	magicprefix.txt	37	Mastersmith's	#% Crushing Blow & +#% Enhanced Damage	1	1	yes	111	2	19	13	-6	40	28	-12	13	11	-2	crush 3-6; dmg% 31-40	weap	orb, wand
prefix	magicprefix.txt	38	Mastersmith's	#% Open Wounds & +#% Enhanced Damage	1	1	yes	111	2	19	13	-6	40	28	-12	13	11	-2	openwounds 11-16; dmg% 31-40	weap	orb, wand
prefix	magicprefix.txt	39	Warrior's	+# to Attack Rating & +#% Enhanced Damage	1	1	yes	111	4	27	19	-8	50	35	-15	19	16	-3	att 61-80; dmg% 41-50	weap	orb, wand
prefix	magicprefix.txt	40	Warrior's	#% Deadly Strike & +#% Enhanced Damage	1	1	yes	111	2	27	19	-8	50	35	-15	19	16	-3	deadly 4-8; dmg% 41-50	weap	orb, wand
prefix	magicprefix.txt	41	Warrior's	#% Crushing Blow & +#% Enhanced Damage	1	1	yes	111	2	27	19	-8	50	35	-15	19	16	-3	crush 4-8; dmg% 41-50	weap	orb, wand
prefix	magicprefix.txt	42	Warrior's	#% Open Wounds & +#% Enhanced Damage	1	1	yes	111	2	27	19	-8	50	35	-15	19	16	-3	openwounds 17-21; dmg% 41-50	weap	orb, wand
prefix	magicprefix.txt	43	Soldier's	+# to Attack Rating & +#% Enhanced Damage	1	1	yes	111	4	38	27	-11	60	42	-18	30	26	-4	att 81-100; dmg% 51-65	weap	orb, wand
prefix	magicprefix.txt	44	Soldier's	#% Deadly Strike & +#% Enhanced Damage	1	1	yes	111	2	38	27	-11	60	42	-18	30	26	-4	deadly 5-10; dmg% 51-65	weap	orb, wand
prefix	magicprefix.txt	45	Soldier's	#% Crushing Blow & +#% Enhanced Damage	1	1	yes	111	2	38	27	-11	60	42	-18	30	26	-4	crush 5-10; dmg% 51-65	weap	orb, wand
prefix	magicprefix.txt	46	Soldier's	#% Open Wounds & +#% Enhanced Damage	1	1	yes	111	2	38	27	-11	60	42	-18	30	26	-4	openwounds 22-28; dmg% 51-65	weap	orb, wand
prefix	magicprefix.txt	47	Crusader's	+# to Attack Rating & +#% Enhanced Damage	1	1	yes	111	4	45	31	-14	70	49	-21	37	31	-6	att 101-125; dmg% 66-80	weap	orb, wand
prefix	magicprefix.txt	48	Crusader's	#% Deadly Strike & +#% Enhanced Damage	1	1	yes	111	2	45	31	-14	70	49	-21	37	31	-6	deadly 6-12; dmg% 66-80	weap	orb, wand
prefix	magicprefix.txt	49	Crusader's	#% Crushing Blow & +#% Enhanced Damage	1	1	yes	111	2	45	31	-14	70	49	-21	37	31	-6	crush 6-12; dmg% 66-80	weap	orb, wand
