side	source_file	source_line	candidate_id	candidate	operation	name	group	level_before	level_after	levelreq_before	levelreq_after	maxlevel_before	maxlevel_after	frequency_before	frequency_after	mods	itypes	etypes
prefix	magicprefix.txt	75	greater-grandmasters	Greater Grandmaster's	convert_existing_to_early	Grandmaster's	111	84	59	88	75		83	4	2	att 276-300; dmg% 301-350	weap	orb, wand
prefix	magicprefix.txt	75	greater-grandmasters	Greater Grandmaster's	add_late_duplicate	Grandmaster's	111	84	84	88	75			4	4	att 276-300; dmg% 301-350	weap	orb, wand
prefix	magicprefix.txt	76	greater-grandmasters	Greater Grandmaster's	convert_existing_to_early	Grandmaster's	111	86	60	88	75		85	2	1	deadly 15-30; dmg% 301-350	weap	orb, wand
prefix	magicprefix.txt	76	greater-grandmasters	Greater Grandmaster's	add_late_duplicate	Grandmaster's	111	86	86	88	75			2	2	deadly 15-30; dmg% 301-350	weap	orb, wand
prefix	magicprefix.txt	77	greater-grandmasters	Greater Grandmaster's	convert_existing_to_early	Grandmaster's	111	86	60	88	75		85	2	1	crush 15-30; dmg% 301-350	weap	orb, wand
prefix	magicprefix.txt	77	greater-grandmasters	Greater Grandmaster's	add_late_duplicate	Grandmaster's	111	86	86	88	75			2	2	crush 15-30; dmg% 301-350	weap	orb, wand
prefix	magicprefix.txt	78	greater-grandmasters	Greater Grandmaster's	convert_existing_to_early	Grandmaster's	111	86	60	88	75		85	2	1	openwounds 94-100; dmg% 301-350	weap	orb, wand
prefix	magicprefix.txt	78	greater-grandmasters	Greater Grandmaster's	add_late_duplicate	Grandmaster's	111	86	86	88	75			2	2	openwounds 94-100; dmg% 301-350	weap	orb, wand
prefix	magicprefix.txt	98	greater-grandmasters	Greater Grandmaster's	convert_existing_to_early	Wraithly1	111	86	60	80	68		85	4	2	dmg% 176-200; ethereal 1-1; rep-dur(10) -	weap	orb, wand
prefix	magicprefix.txt	98	greater-grandmasters	Greater Grandmaster's	add_late_duplicate	Wraithly1	111	86	86	80	68			4	4	dmg% 176-200; ethereal 1-1; rep-dur(10) -	weap	orb, wand
prefix	magicprefix.txt	176	greater-godly	Greater Godly	convert_existing_to_early	Godly	101	86	60	75	64		85	110	55	ac% 201-225	armo, shld	
prefix	magicprefix.txt	176	greater-godly	Greater Godly	add_late_duplicate	Godly	101	86	86	75	64			110	110	ac% 201-225	armo, shld	
prefix	magicprefix.txt	182	greater-godly	Greater Godly	convert_existing_to_early	Wraithly1	101	86	60	75	64		85	4	2	ac% 81-100; ethereal 1-1; rep-dur(10) -	armo	
prefix	magicprefix.txt	182	greater-godly	Greater Godly	add_late_duplicate	Wraithly1	101	86	86	75	64			4	4	ac% 81-100; ethereal 1-1; rep-dur(10) -	armo	
prefix	magicprefix.txt	189	greater-godly	Greater Godly	convert_existing_to_early	Invulnerable1	101	86	60	83	71		85	4	2	ac% 81-100; red-dmg% 21-25	tors, shld	
prefix	magicprefix.txt	189	greater-godly	Greater Godly	add_late_duplicate	Invulnerable1	101	86	86	83	71			4	4	ac% 81-100; red-dmg% 21-25	tors, shld	
prefix	magicprefix.txt	433	greater-antimagic-prefix	Greater Antimagic	convert_existing_to_early	Antimagic	102	86	60	80	68		85	8	4	res-mag 16-20	shld, tors, orb, wand, staf	
prefix	magicprefix.txt	433	greater-antimagic-prefix	Greater Antimagic	add_late_duplicate	Antimagic	102	86	86	80	68			8	8	res-mag 16-20	shld, tors, orb, wand, staf	
prefix	magicprefix.txt	143	greater-bloody	Greater Bloody	convert_existing_to_early	Bloody	103	86	60	88	75		85	8	4	dmg-min 6-8; dmg-max 13-15	jewl	
prefix	magicprefix.txt	143	greater-bloody	Greater Bloody	add_late_duplicate	Bloody	103	86	86	88	75			8	8	dmg-min 6-8; dmg-max 13-15	jewl	
prefix	magicprefix.txt	938	greater-bloody	Greater Bloody	convert_existing_to_early	Bloody	103	86	60	88	75		85	3	2	dmg-min 6-8; dmg-max 13-15	lcha	
prefix	magicprefix.txt	938	greater-bloody	Greater Bloody	add_late_duplicate	Bloody	103	86	86	88	75			3	3	dmg-min 6-8; dmg-max 13-15	lcha	
prefix	magicprefix.txt	140	greater-serrated	Greater Serrated	convert_existing_to_early	Vermillion	104	58	41	50	43		57	8	4	dmg-max 11-15	jewl	
prefix	magicprefix.txt	140	greater-serrated	Greater Serrated	add_late_duplicate	Vermillion	104	58	58	50	43			8	8	dmg-max 11-15	jewl	
prefix	magicprefix.txt	911	greater-serrated	Greater Serrated	convert_existing_to_early	Serrated	104	81	57	81	69		80	3	2	dmg% 20-25	lcha	
prefix	magicprefix.txt	911	greater-serrated	Greater Serrated	add_late_duplicate	Serrated	104	81	81	81	69			3	3	dmg% 20-25	lcha	
prefix	magicprefix.txt	153	greater-gritty	Greater Gritty	convert_existing_to_early	Gritty	105	75	53	65	55		74	14	7	dmg/lvl(16) -	weap	orb, wand, orb
prefix	magicprefix.txt	153	greater-gritty	Greater Gritty	add_late_duplicate	Gritty	105	75	75	65	55			14	14	dmg/lvl(16) -	weap	orb, wand, orb
prefix	magicprefix.txt	17	greater-gritty	Greater Gritty	convert_existing_to_early	Vicious	105	70	49	64	54		69	24	12	dmg% 26-40	circ	
prefix	magicprefix.txt	17	greater-gritty	Greater Gritty	add_late_duplicate	Vicious	105	70	70	64	54			24	24	dmg% 26-40	circ	
prefix	magicprefix.txt	21	greater-gritty	Greater Gritty	convert_existing_to_early	Ruby	105	66	46	58	49		65	10	5	dmg% 31-40	jewl	
prefix	magicprefix.txt	21	greater-gritty	Greater Gritty	add_late_duplicate	Ruby	105	66	66	58	49			10	10	dmg% 31-40	jewl	
prefix	magicprefix.txt	412	greater-vulpine	Greater Vulpine	convert_existing_to_early	Vulpine	107	9	6	6	5		8	6	3	dmg-to-mana 7-12	shld, amul, orb, staf	
prefix	magicprefix.txt	412	greater-vulpine	Greater Vulpine	add_late_duplicate	Vulpine	107	9	9	6	5			6	6	dmg-to-mana 7-12	shld, amul, orb, staf	
