category	type	type2	normal_code	normal_name	normal_level	normal_levelreq	exceptional_code	exceptional_name	exceptional_level	exceptional_levelreq	elite_code	elite_name	elite_level	elite_levelreq
weapon	axe	1wep	hax	Hand Axe	3	0	9ha	Hatchet	31	19	7ha	Tomahawk	54	40
weapon	axe	1wep	axe	Axe	7	0	9ax	Cleaver	34	22	7ax	Small Crescent	61	45
weapon	axe	1wep	2ax	Double Axe	13	0	92a	Twin Axe	39	25	72a	Ettin Axe	70	52
weapon	axe	1wep	mpi	Military Pick	19	0	9mp	Crowbill	43	25	7mp	War Spike	79	59
weapon	axe	1wep	wax	War Axe	25	0	9wa	Naga	48	25	7wa	Berserker Axe	85	64
weapon	axe	slam	lax	Large Axe	6	0	9la	Military Axe	34	22	7la	Feral Axe	57	42
weapon	axe	slam	bax	Broad Axe	12	0	9ba	Bearded Axe	38	25	7ba	Silver-edged Axe	65	48
weapon	axe	slam	btx	Battle Axe	17	0	9bt	Tabar	42	25	7bt	Decapitator	73	54
weapon	axe	slam	gax	Great Axe	23	0	9ga	Gothic Axe	46	25	7ga	Champion Axe	82	61
weapon	axe	slam	gix	Giant Axe	27	0	9gi	Ancient Axe	51	25	7gi	Glorious Axe	85	66
weapon	wand	1wep	wnd	Wand	2	0	9wn	Burnt Wand	31	19	7wn	Polished Wand	55	41
weapon	wand	1wep	ywn	Yew Wand	12	0	9yw	Petrified Wand	38	25	7yw	Ghost Wand	65	48
weapon	wand	1wep	bwn	Bone Wand	18	0	9bw	Tomb Wand	43	25	7bw	Lich Wand	75	56
weapon	wand	1wep	gwn	Grim Wand	26	0	9gw	Grave Wand	49	25	7gw	Unearthed Wand	86	64
weapon	club	1wep	clb	Club	1	0	9cl	Cudgel	30	18	7cl	Truncheon	52	39
weapon	scep	1wep	scp	Scepter	3	0	9sc	Rune Scepter	31	19	7sc	Mighty Scepter	62	46
weapon	scep	1wep	gsc	Grand Scepter	15	0	9qs	Holy Water Sprinkler	40	25	7qs	Seraph Rod	76	57
weapon	scep	1wep	wsp	War Scepter	21	0	9ws	Divine Scepter	45	25	7ws	Caduceus	85	66
weapon	club	1wep	spc	Spiked Club	4	0	9sp	Barbed Club	32	20	7sp	Tyrant Club	57	42
weapon	mace	1wep	mac	Mace	8	0	9ma	Flanged Mace	35	23	7ma	Reinforced Mace	63	47
weapon	mace	1wep	mst	Morning Star	13	0	9mt	Jagged Star	39	25	7mt	Devil Star	70	52
weapon	mace	1wep	fla	Flail	19	0	9fl	Knout	43	25	7fl	Scourge	76	57
weapon	hamm	1wep	whm	War Hammer	25	0	9wh	Battle Hammer	48	25	7wh	Legendary Mallet	82	61
weapon	hamm	slam	mau	Maul	21	0	9m9	War Club	45	25	7m7	Ogre Maul	69	51
weapon	hamm	slam	gma	Great Maul	32	0	9gm	Martel de Fer	53	25	7gm	Thunder Maul	85	65
weapon	swor	1wep	ssd	Short Sword	1	0	9ss	Gladius	30	18	7ss	Falcata	56	42
weapon	swor	1wep	scm	Scimitar	5	0	9sm	Cutlass	43	25	7sm	Ataghan	61	45
weapon	swor	1wep	sbr	Saber	8	0	9sb	Shamshir	35	23	7sb	Elegant Blade	63	47
weapon	swor	1wep	flc	Falchion	11	0	9fc	Tulwar	37	25	7fc	Hydra Edge	69	51
weapon	swor	1wep	crs	Crystal Sword	11	0	9cr	Dimensional Blade	37	25	7cr	Phase Blade	73	54
weapon	swor	1wep	bsd	Broad Sword	15	0	9bs	Battle Sword	40	25	7bs	Conquest Sword	78	58
weapon	swor	1wep	lsd	Long Sword	20	0	9ls	Rune Sword	44	25	7ls	Cryptic Sword	82	61
weapon	swor	1wep	wsd	War Sword	27	0	9wd	Ancient Sword	49	25	7wd	Mythical Sword	85	66
weapon	swor	slam	2hs	Two-Handed Sword	10	0	92h	Espandon	37	25	72h	Legend Sword	59	44
weapon	swor	slam	clm	Claymore	17	0	9cm	Dacian Falx	42	25	7cm	Highland Blade	66	49
weapon	swor	slam	gis	Giant Sword	21	0	9gs	Tusk Sword	45	25	7gs	Balrog Blade	71	53
weapon	swor	slam	bsw	Bastard Sword	24	0	9b9	Gothic Sword	48	25	7b7	Champion Sword	77	57
weapon	swor	slam	flb	Flamberge	27	0	9fb	Zweihander	49	25	7fb	Colossal Sword	80	60
weapon	swor	slam	gsd	Great Sword	33	0	9gd	Executioner Sword	54	25	7gd	Colossus Blade	85	63
weapon	knif	1wep	dgr	Dagger	3	0	9dg	Poignard	31	19	7dg	Bone Knife	58	43
weapon	knif	1wep	dir	Dirk	9	0	9di	Rondel	36	24	7di	Mithral Point	70	52
weapon	knif	1wep	kri	Kriss	17	0	9kr	Cinquedeas	42	25	7kr	Fanged Knife	83	62
weapon	knif	1wep	bld	Blade	23	0	9bl	Stilleto	46	25	7bl	Legend Spike	85	66
weapon	tkni	1wep	tkf	Throwing Knife	2	0	9tk	Battle Dart	31	19	7tk	Flying Knife	64	48
weapon	taxe	1wep	tax	Throwing Axe	7	0	9ta	Francisca	34	22	7ta	Flying Axe	56	42
weapon	tkni	1wep	bkf	Balanced Knife	13	0	9bk	War Dart	39	25	7bk	Winged Knife	77	57
weapon	taxe	1wep	bal	Balanced Axe	16	0	9b8	Hurlbat	41	25	7b8	Winged Axe	80	60
weapon	jave	1wep	jav	Javelin	1	0	9ja	War Javelin	30	18	7ja	Hyperion Javelin	54	40
weapon	jave	1wep	pil	Pilum	10	0	9pi	Great Pilum	37	25	7pi	Stygian Pilum	62	46
weapon	jave	1wep	ssp	Short Spear	15	0	9s9	Simbilan	40	25	7s7	Balrog Spear	71	53
weapon	jave	1wep	glv	Glaive	23	0	9gl	Spiculum	46	25	7gl	Ghost Glaive	79	59
weapon	jave	1wep	tsp	Throwing Spear	29	0	9ts	Harpoon	51	25	7ts	Winged Harpoon	85	65
weapon	spea		spr	Spear	5	0	9sr	War Spear	33	21	7sr	Hyperion Spear	58	43
weapon	spea		tri	Trident	9	0	9tr	Fuscina	36	24	7tr	Stygian Pike	66	49
weapon	spea		brn	Brandistock	16	0	9br	War Fork	41	25	7br	Mancatcher	74	55
weapon	spea		spt	Spetum	20	0	9st	Yari	44	25	7st	Ghost Spear	83	62
weapon	spea		pik	Pike	24	0	9p9	Lance	47	25	7p7	War Pike	85	66
weapon	pole	slam	bar	Bardiche	5	0	9b7	Lochaber Axe	33	21	7o7	Ogre Axe	60	45
weapon	pole	slam	vou	Voulge	11	0	9vo	Bill	37	25	7vo	Colossus Voulge	64	48
weapon	pole	slam	scy	Scythe	15	0	9s8	Battle Scythe	40	25	7s8	Thresher	71	53
weapon	pole	slam	pax	Poleaxe	21	0	9pa	Partizan	35	23	7pa	Cryptic Axe	79	59
weapon	pole	slam	hal	Halberd	29	0	9h9	Bec-de-Corbin	51	25	7h7	Great Poleaxe	84	63
weapon	pole	slam	wsc	War Scythe	34	0	9wc	Grim Scythe	55	25	7wc	Giant Thresher	85	66
weapon	staf	slam	sst	Short Staff	1	0	8ss	Jo Staff	30	18	6ss	Walking Stick	58	43
weapon	staf	slam	lst	Long Staff	8	0	8ls	Quarterstaff	35	23	6ls	Stalagmite	66	49
weapon	staf	slam	cst	Gnarled Staff	12	0	8cs	Cedar Staff	38	25	6cs	Elder Staff	74	55
weapon	staf	slam	bst	Battle Staff	17	0	8bs	Gothic Staff	42	25	6bs	Shillelagh	83	62
weapon	staf	slam	wst	War Staff	24	0	8ws	Rune Staff	47	25	6ws	Archon Staff	85	66
weapon	bow		sbw	Short Bow	1	0	8sb	Edge Bow	30	18	6sb	Spider Bow	55	41
weapon	bow		hbw	Hunter's Bow	5	0	8hb	Razor Bow	33	21	6hb	Blade Bow	60	45
weapon	bow		lbw	Long Bow	8	0	8lb	Cedar Bow	35	23	6lb	Shadow Bow	63	47
weapon	bow		cbw	Composite Bow	12	0	8cb	Double Bow	39	25	6cb	Great Bow	68	51
weapon	bow		sbb	Short Battle Bow	18	0	8s8	Short Siege Bow	43	25	6s7	Diamond Bow	72	54
weapon	bow		lbb	Long Battle Bow	23	0	8l8	Long Siege Bow	46	25	6l7	Crusader Bow	77	57
weapon	bow		swb	Short War Bow	27	0	8sw	Rune Bow	49	25	6sw	Ward Bow	80	60
weapon	bow		lwb	Long War Bow	31	0	8lw	Gothic Bow	52	25	6lw	Hydra Bow	85	63
