side	greater_affix	description_base	group	itypes	etypes	bands	greater_exact_mods	apex_affix	apex_exact_mods	apex_line	apex_mapping_note
prefix	Greater Godly	Greater +#% Enhanced Defense & Ethereal & Repairs 1 durability in # seconds	101	armo		early L50-65 req64 freq1 line1307; mid L66-80 req64 freq3 line1308; late L81-? req64 freq4 line1309	greater_m_ac% 300-300; greater_ethereal 1-1; greater_rep-dur(param=10)	Godly	ac% 201-225	196	exact base-name match
prefix	Greater Godly	Greater +#% Enhanced Defense	101	armo,shld		early L50-65 req64 freq37 line1304; mid L66-80 req64 freq73 line1305; late L81-? req64 freq110 line1306	greater_m_ac% 300-300; greater_red-dmg% 30-30	Godly	ac% 201-225	196	exact base-name match
prefix	Greater Godly	Greater +#% Enhanced Defense & Damage Reduced by #%	101	tors,shld		early L50-65 req71 freq1 line1310; mid L66-80 req71 freq3 line1311; late L81-? req71 freq4 line1312	greater_m_ac% 300-300; greater_red-dmg% 30-30	Godly	ac% 201-225	196	exact base-name match
prefix	Greater Antimagic	Greater Magic Resist +#%	102	shld,tors,orb,wand,staf		early L50-65 req68 freq3 line1313; mid L66-80 req68 freq5 line1314; late L81-? req68 freq8 line1315	greater_m_res-mag 30-30	Antimagic	res-mag 16-20	549	exact base-name match
prefix	Greater Bloody	Greater +# to Minimum Damage & +# to Maximum Damage	103	jewl		early L50-65 req75 freq3 line1316; mid L66-80 req75 freq5 line1317; late L81-? req75 freq8 line1318	greater_m_dmg-min 12-12; greater_dmg-max 24-24	Bloody	dmg-min 6-8; dmg-max 13-15	161	exact base-name match
prefix	Greater Bloody	Greater +# to Minimum Damage & +# to Maximum Damage	103	lcha		early L50-65 req75 freq1 line1319; mid L66-80 req75 freq2 line1320; late L81-? req75 freq3 line1321	greater_m_dmg-min 12-12; greater_dmg-max 24-24	Bloody	dmg-min 6-8; dmg-max 13-15	1083	exact base-name match
prefix	Greater Serrated	Greater +#% Enhanced Damage	104	lcha		early L50-65 req69 freq1 line1325; mid L66-80 req69 freq2 line1326; late L81-? req69 freq3 line1327	greater_m_dmg% 35-35	Serrated	dmg% 20-25	1054	exact base-name match
prefix	Greater Vermillion	Greater +# to Maximum Damage	104	jewl		early L50-65 req43 freq3 line1322; mid L66-80 req43 freq5 line1323; late L81-? req43 freq8 line1324	greater_m_dmg-max 20-20	Vermillion	dmg-max 11-15	157	exact base-name match
prefix	Greater Gritty	Greater +# to Maximum Damage (Based on Character Level)	105	weap	orb,wand,orb	early L50-65 req55 freq5 line1328; mid L66-80 req55 freq9 line1329; late L81-? req55 freq14 line1330	greater_m_dmg/lvl(param=21)	Gritty	dmg/lvl(param=16)	172	exact base-name match
prefix	Greater Ruby	Greater +#% Enhanced Damage	105	jewl		early L50-65 req49 freq3 line1334; mid L66-80 req49 freq7 line1335; late L81-? req49 freq10 line1336	greater_m_dmg% 52-52	Ruby	dmg% 31-40	23	exact base-name match
prefix	Greater Vicious	Greater +#% Enhanced Damage	105	circ		early L50-65 req54 freq8 line1331; mid L66-80 req54 freq16 line1332; late L81-? req54 freq24 line1333	greater_m_dmg% 52-52	Vicious	dmg% 26-40	18	exact base-name match
prefix	Greater Dun	Greater #% Damage Taken Goes To Mana	107	jewl		early L50-65 req4 freq2 line1340; mid L66-80 req4 freq4 line1341; late L81-? req4 freq6 line1342	greater_m_dmg-to-mana 20-20	Dun	dmg-to-mana 7-12	526	exact base-name match
prefix	Greater Vulpine	Greater #% Damage Taken Goes To Mana	107	shld,amul,orb,staf		early L50-65 req5 freq2 line1337; mid L66-80 req5 freq4 line1338; late L81-? req5 freq6 line1339	greater_m_dmg-to-mana 20-20	Vulpine	dmg-to-mana 7-12	524	exact base-name match
prefix	Greater Argent	Greater +# to Attack Rating	110	jewl		early L50-65 req31 freq3 line1352; mid L66-80 req31 freq5 line1353; late L81-? req31 freq8 line1354	greater_m_att 450-450	Argent	att 61-100	139	exact base-name match
prefix	Greater Gold	Greater +# to Attack Rating	110	weap,ring,circ,glov,amul	orb,wand	early L50-65 req14 freq4 line1346; mid L66-80 req14 freq8 line1347; late L81-? req14 freq12 line1348	greater_m_att 450-450	Gold	att 81-100	128	exact base-name match
prefix	Greater Platinum	Greater +# to Attack Rating	110	weap,ring,circ	orb,wand	early L50-65 req19 freq4 line1349; mid L66-80 req19 freq8 line1350; late L81-? req19 freq12 line1351	greater_m_att 450-450	Platinum	att 101-125	130	exact base-name match
prefix	Greater Steel	Greater +# to Attack Rating	110	lcha		early L50-65 req69 freq2 line1355; mid L66-80 req69 freq4 line1356; late L81-? req69 freq6 line1357	greater_m_att 450-450	Steel	att 118-132	1064	exact base-name match
prefix	Greater Weird	Greater +# to Attack Rating	110	weap	orb,wand	early L50-65 req34 freq3 line1343; mid L66-80 req34 freq5 line1344; late L81-? req34 freq8 line1345	greater_m_att 450-450	Weird	att 301-450	134	exact base-name match
prefix	Greater Grandmaster's	Greater +# to Attack Rating & +#% Enhanced Damage	111	weap	orb,wand	early L50-65 req75 freq1 line1289; mid L66-80 req75 freq3 line1290; late L81-? req75 freq4 line1291	greater_m_att 350-350; greater_dmg% 500-500	Grandmaster's	att 276-300; dmg% 301-350	78	exact base-name match
