side	line	greater_affix	description	band	group	level	maxlevel	levelreq	frequency	itypes	etypes	greater_exact_mods	greater_property_stats	apex_affix	apex_line	apex_description	apex_level	apex_maxlevel	apex_levelreq	apex_frequency	apex_exact_mods	apex_mapping_note
prefix	1289	Greater Grandmaster's	Greater +# to Attack Rating & +#% Enhanced Damage [early; marker=property]	early	111	50	65	75	1	weap	orb,wand	greater_m_att 350-350; greater_dmg% 500-500	greater_m_att: func1=1/stat1=greater_tohit/val1= | func2=1/stat2=item_greaterAffixMarker/val2= | tooltip=+# to Attack Rating; greater_dmg%: func1=7/stat1=/val1= | tooltip=+#% Enhanced Damage	Grandmaster's	78	+# to Attack Rating & +#% Enhanced Damage	84		75	40	att 276-300; dmg% 301-350	exact base-name match
prefix	1290	Greater Grandmaster's	Greater +# to Attack Rating & +#% Enhanced Damage [mid; marker=property]	mid	111	66	80	75	3	weap	orb,wand	greater_m_att 350-350; greater_dmg% 500-500	greater_m_att: func1=1/stat1=greater_tohit/val1= | func2=1/stat2=item_greaterAffixMarker/val2= | tooltip=+# to Attack Rating; greater_dmg%: func1=7/stat1=/val1= | tooltip=+#% Enhanced Damage	Grandmaster's	78	+# to Attack Rating & +#% Enhanced Damage	84		75	40	att 276-300; dmg% 301-350	exact base-name match
prefix	1291	Greater Grandmaster's	Greater +# to Attack Rating & +#% Enhanced Damage [late; marker=property]	late	111	81		75	4	weap	orb,wand	greater_m_att 350-350; greater_dmg% 500-500	greater_m_att: func1=1/stat1=greater_tohit/val1= | func2=1/stat2=item_greaterAffixMarker/val2= | tooltip=+# to Attack Rating; greater_dmg%: func1=7/stat1=/val1= | tooltip=+#% Enhanced Damage	Grandmaster's	78	+# to Attack Rating & +#% Enhanced Damage	84		75	40	att 276-300; dmg% 301-350	exact base-name match
prefix	1292	Greater Grandmaster's	Greater #% Deadly Strike & +#% Enhanced Damage [early; marker=property]	early	111	50	65	75	1	weap	orb,wand	greater_m_deadly 40-40; greater_dmg% 500-500	greater_m_deadly: func1=1/stat1=greater_item_deadlystrike/val1= | func2=1/stat2=item_greaterAffixMarker/val2= | tooltip=#% Deadly Strike; greater_dmg%: func1=7/stat1=/val1= | tooltip=+#% Enhanced Damage	Grandmaster's	80	#% Deadly Strike & +#% Enhanced Damage	86		75	20	deadly 15-30; dmg% 301-350	exact base-name match
prefix	1293	Greater Grandmaster's	Greater #% Deadly Strike & +#% Enhanced Damage [mid; marker=property]	mid	111	66	80	75	1	weap	orb,wand	greater_m_deadly 40-40; greater_dmg% 500-500	greater_m_deadly: func1=1/stat1=greater_item_deadlystrike/val1= | func2=1/stat2=item_greaterAffixMarker/val2= | tooltip=#% Deadly Strike; greater_dmg%: func1=7/stat1=/val1= | tooltip=+#% Enhanced Damage	Grandmaster's	80	#% Deadly Strike & +#% Enhanced Damage	86		75	20	deadly 15-30; dmg% 301-350	exact base-name match
prefix	1294	Greater Grandmaster's	Greater #% Deadly Strike & +#% Enhanced Damage [late; marker=property]	late	111	81		75	2	weap	orb,wand	greater_m_deadly 40-40; greater_dmg% 500-500	greater_m_deadly: func1=1/stat1=greater_item_deadlystrike/val1= | func2=1/stat2=item_greaterAffixMarker/val2= | tooltip=#% Deadly Strike; greater_dmg%: func1=7/stat1=/val1= | tooltip=+#% Enhanced Damage	Grandmaster's	80	#% Deadly Strike & +#% Enhanced Damage	86		75	20	deadly 15-30; dmg% 301-350	exact base-name match
prefix	1295	Greater Grandmaster's	Greater #% Crushing Blow & +#% Enhanced Damage [early; marker=property]	early	111	50	65	75	1	weap	orb,wand	greater_m_crush 40-40; greater_dmg% 500-500	greater_m_crush: func1=1/stat1=greater_item_crushingblow/val1= | func2=1/stat2=item_greaterAffixMarker/val2= | tooltip=#% Chance of Crushing Blow; greater_dmg%: func1=7/stat1=/val1= | tooltip=+#% Enhanced Damage	Grandmaster's	82	#% Crushing Blow & +#% Enhanced Damage	86		75	20	crush 15-30; dmg% 301-350	exact base-name match
prefix	1296	Greater Grandmaster's	Greater #% Crushing Blow & +#% Enhanced Damage [mid; marker=property]	mid	111	66	80	75	1	weap	orb,wand	greater_m_crush 40-40; greater_dmg% 500-500	greater_m_crush: func1=1/stat1=greater_item_crushingblow/val1= | func2=1/stat2=item_greaterAffixMarker/val2= | tooltip=#% Chance of Crushing Blow; greater_dmg%: func1=7/stat1=/val1= | tooltip=+#% Enhanced Damage	Grandmaster's	82	#% Crushing Blow & +#% Enhanced Damage	86		75	20	crush 15-30; dmg% 301-350	exact base-name match
prefix	1297	Greater Grandmaster's	Greater #% Crushing Blow & +#% Enhanced Damage [late; marker=property]	late	111	81		75	2	weap	orb,wand	greater_m_crush 40-40; greater_dmg% 500-500	greater_m_crush: func1=1/stat1=greater_item_crushingblow/val1= | func2=1/stat2=item_greaterAffixMarker/val2= | tooltip=#% Chance of Crushing Blow; greater_dmg%: func1=7/stat1=/val1= | tooltip=+#% Enhanced Damage	Grandmaster's	82	#% Crushing Blow & +#% Enhanced Damage	86		75	20	crush 15-30; dmg% 301-350	exact base-name match
prefix	1298	Greater Grandmaster's	Greater #% Open Wounds & +#% Enhanced Damage [early; marker=property]	early	111	50	65	75	1	weap	orb,wand	greater_m_openwounds 100-100; greater_dmg% 500-500	greater_m_openwounds: func1=1/stat1=greater_item_openwounds/val1= | func2=1/stat2=item_greaterAffixMarker/val2= | tooltip=#% Chance of Open Wounds; greater_dmg%: func1=7/stat1=/val1= | tooltip=+#% Enhanced Damage	Grandmaster's	84	#% Open Wounds & +#% Enhanced Damage	86		75	20	openwounds 94-100; dmg% 301-350	exact base-name match
prefix	1299	Greater Grandmaster's	Greater #% Open Wounds & +#% Enhanced Damage [mid; marker=property]	mid	111	66	80	75	1	weap	orb,wand	greater_m_openwounds 100-100; greater_dmg% 500-500	greater_m_openwounds: func1=1/stat1=greater_item_openwounds/val1= | func2=1/stat2=item_greaterAffixMarker/val2= | tooltip=#% Chance of Open Wounds; greater_dmg%: func1=7/stat1=/val1= | tooltip=+#% Enhanced Damage	Grandmaster's	84	#% Open Wounds & +#% Enhanced Damage	86		75	20	openwounds 94-100; dmg% 301-350	exact base-name match
prefix	1300	Greater Grandmaster's	Greater #% Open Wounds & +#% Enhanced Damage [late; marker=property]	late	111	81		75	2	weap	orb,wand	greater_m_openwounds 100-100; greater_dmg% 500-500	greater_m_openwounds: func1=1/stat1=greater_item_openwounds/val1= | func2=1/stat2=item_greaterAffixMarker/val2= | tooltip=#% Chance of Open Wounds; greater_dmg%: func1=7/stat1=/val1= | tooltip=+#% Enhanced Damage	Grandmaster's	84	#% Open Wounds & +#% Enhanced Damage	86		75	20	openwounds 94-100; dmg% 301-350	exact base-name match
prefix	1301	Greater Grandmaster's	Greater +#% Enhanced Damage & Ethereal & Repairs 1 durability in # seconds [early; marker=property]	early	111	50	65	68	1	weap	orb,wand	greater_m_dmg% 500-500; greater_ethereal 1-1; greater_rep-dur(param=10)	greater_m_dmg%: func1=7/stat1=/val1= | func2=1/stat2=item_greaterAffixMarker/val2= | tooltip=+#% Enhanced Damage; greater_ethereal: func1=23/stat1=/val1= | tooltip=Ethereal; greater_rep-dur: func1=17/stat1=greater_item_replenish_durability/val1= | tooltip=Repairs 1 durability in # seconds	Grandmaster's	84	#% Open Wounds & +#% Enhanced Damage	86		75	20	openwounds 94-100; dmg% 301-350	exact base-name match
prefix	1302	Greater Grandmaster's	Greater +#% Enhanced Damage & Ethereal & Repairs 1 durability in # seconds [mid; marker=property]	mid	111	66	80	68	3	weap	orb,wand	greater_m_dmg% 500-500; greater_ethereal 1-1; greater_rep-dur(param=10)	greater_m_dmg%: func1=7/stat1=/val1= | func2=1/stat2=item_greaterAffixMarker/val2= | tooltip=+#% Enhanced Damage; greater_ethereal: func1=23/stat1=/val1= | tooltip=Ethereal; greater_rep-dur: func1=17/stat1=greater_item_replenish_durability/val1= | tooltip=Repairs 1 durability in # seconds	Grandmaster's	84	#% Open Wounds & +#% Enhanced Damage	86		75	20	openwounds 94-100; dmg% 301-350	exact base-name match
prefix	1303	Greater Grandmaster's	Greater +#% Enhanced Damage & Ethereal & Repairs 1 durability in # seconds [late; marker=property]	late	111	81		68	4	weap	orb,wand	greater_m_dmg% 500-500; greater_ethereal 1-1; greater_rep-dur(param=10)	greater_m_dmg%: func1=7/stat1=/val1= | func2=1/stat2=item_greaterAffixMarker/val2= | tooltip=+#% Enhanced Damage; greater_ethereal: func1=23/stat1=/val1= | tooltip=Ethereal; greater_rep-dur: func1=17/stat1=greater_item_replenish_durability/val1= | tooltip=Repairs 1 durability in # seconds	Grandmaster's	84	#% Open Wounds & +#% Enhanced Damage	86		75	20	openwounds 94-100; dmg% 301-350	exact base-name match
prefix	1304	Greater Godly	Greater +#% Enhanced Defense [early; marker=property]	early	101	50	65	64	37	armo,shld		greater_m_ac% 300-300; greater_red-dmg% 30-30	greater_m_ac%: func1=2/stat1=greater_item_armor_percent/val1= | func2=1/stat2=item_greaterAffixMarker/val2= | tooltip=+#% Enhanced Defense; greater_red-dmg%: func1=1/stat1=greater_damageresist/val1= | tooltip=Damage Reduced by #%	Godly	196	+#% Enhanced Defense	86		64	1100	ac% 201-225	exact base-name match
prefix	1305	Greater Godly	Greater +#% Enhanced Defense [mid; marker=property]	mid	101	66	80	64	73	armo,shld		greater_m_ac% 300-300; greater_red-dmg% 30-30	greater_m_ac%: func1=2/stat1=greater_item_armor_percent/val1= | func2=1/stat2=item_greaterAffixMarker/val2= | tooltip=+#% Enhanced Defense; greater_red-dmg%: func1=1/stat1=greater_damageresist/val1= | tooltip=Damage Reduced by #%	Godly	196	+#% Enhanced Defense	86		64	1100	ac% 201-225	exact base-name match
prefix	1306	Greater Godly	Greater +#% Enhanced Defense [late; marker=property]	late	101	81		64	110	armo,shld		greater_m_ac% 300-300; greater_red-dmg% 30-30	greater_m_ac%: func1=2/stat1=greater_item_armor_percent/val1= | func2=1/stat2=item_greaterAffixMarker/val2= | tooltip=+#% Enhanced Defense; greater_red-dmg%: func1=1/stat1=greater_damageresist/val1= | tooltip=Damage Reduced by #%	Godly	196	+#% Enhanced Defense	86		64	1100	ac% 201-225	exact base-name match
prefix	1307	Greater Godly	Greater +#% Enhanced Defense & Ethereal & Repairs 1 durability in # seconds [early; marker=property]	early	101	50	65	64	1	armo		greater_m_ac% 300-300; greater_ethereal 1-1; greater_rep-dur(param=10)	greater_m_ac%: func1=2/stat1=greater_item_armor_percent/val1= | func2=1/stat2=item_greaterAffixMarker/val2= | tooltip=+#% Enhanced Defense; greater_ethereal: func1=23/stat1=/val1= | tooltip=Ethereal; greater_rep-dur: func1=17/stat1=greater_item_replenish_durability/val1= | tooltip=Repairs 1 durability in # seconds	Godly	196	+#% Enhanced Defense	86		64	1100	ac% 201-225	exact base-name match
prefix	1308	Greater Godly	Greater +#% Enhanced Defense & Ethereal & Repairs 1 durability in # seconds [mid; marker=property]	mid	101	66	80	64	3	armo		greater_m_ac% 300-300; greater_ethereal 1-1; greater_rep-dur(param=10)	greater_m_ac%: func1=2/stat1=greater_item_armor_percent/val1= | func2=1/stat2=item_greaterAffixMarker/val2= | tooltip=+#% Enhanced Defense; greater_ethereal: func1=23/stat1=/val1= | tooltip=Ethereal; greater_rep-dur: func1=17/stat1=greater_item_replenish_durability/val1= | tooltip=Repairs 1 durability in # seconds	Godly	196	+#% Enhanced Defense	86		64	1100	ac% 201-225	exact base-name match
prefix	1309	Greater Godly	Greater +#% Enhanced Defense & Ethereal & Repairs 1 durability in # seconds [late; marker=property]	late	101	81		64	4	armo		greater_m_ac% 300-300; greater_ethereal 1-1; greater_rep-dur(param=10)	greater_m_ac%: func1=2/stat1=greater_item_armor_percent/val1= | func2=1/stat2=item_greaterAffixMarker/val2= | tooltip=+#% Enhanced Defense; greater_ethereal: func1=23/stat1=/val1= | tooltip=Ethereal; greater_rep-dur: func1=17/stat1=greater_item_replenish_durability/val1= | tooltip=Repairs 1 durability in # seconds	Godly	196	+#% Enhanced Defense	86		64	1100	ac% 201-225	exact base-name match
