id	side	affix_name	group	levelreq	bands_and_frequency	active_frequency_at_alvl90_min	active_frequency_at_alvl90_max	stats	transformcolor	itypes	etypes	eligible_item_type_count	eligible_item_types	eligible_pool_frequency_min	eligible_pool_frequency_max	chance_min_pct_per_affix_roll_alvl90	chance_avg_pct_per_affix_roll_alvl90	chance_max_pct_per_affix_roll_alvl90	approx_three_roll_max_pct	best_item_type_samples	source_lines
GA001	prefix	Greater Arch-Angel's	125	57	early L50-65 freq 1 line 1349; mid L66-80 freq 3 line 1350; late L81-+ freq 4 line 1351	4	4	sor 3-3	cgrn	amul,circ		2	circ,amul	4724	12894	0.031022	0.057848	0.084674	0.253807	amul	1349,1350,1351
GA002	prefix	Greater Arch-Angel's	125	36	early L50-65 freq 1 line 1406; mid L66-80 freq 3 line 1407; late L81-+ freq 4 line 1408	4	4	sor 3-3	cgrn	staf,orb		2	staf,orb	3840	13576	0.029464	0.066815	0.104167	0.312175	orb	1406,1407,1408
GA003	prefix	Greater Arch-Angel's	125	64	early L50-65 freq 1 line 1382; mid L66-80 freq 1 line 1383; late L81-+ freq 2 line 1384	2	2	sor 3-3	cgrn	tors		1	tors	8720	8720	0.022936	0.022936	0.022936	0.068792	tors	1382,1383,1384
GA004	prefix	Greater Arch-Devil's	125	57	early L50-65 freq 1 line 1361; mid L66-80 freq 1 line 1362; late L81-+ freq 2 line 1363	2	2	war 3-3	cgrn	amul,circ		2	circ,amul	4724	12894	0.015511	0.028924	0.042337	0.126957	amul	1361,1362,1363
GA005	prefix	Greater Arch-Devil's	125	36	early L50-65 freq 1 line 1397; mid L66-80 freq 1 line 1398; late L81-+ freq 2 line 1399	2	2	war 3-3	cgrn	knif,grim		3	tkni,knif,grim	8838	12906	0.015497	0.017951	0.022630	0.067873	grim	1397,1398,1399
GA006	prefix	Greater Aureole Conviction	207	38	early L50-65 freq 1 line 1478; mid L66-80 freq 1 line 1479; late L81-+ freq 2 line 1480	2	2	aura param=123 4-4	blac	tors		1	tors	8720	8720	0.022936	0.022936	0.022936	0.068792	tors	1478,1479,1480
GA007	prefix	Greater Aureole Fanaticism	207	34	early L50-65 freq 1 line 1475; mid L66-80 freq 1 line 1476; late L81-+ freq 2 line 1477	2	2	aura param=122 4-4	lgrn	tors		1	tors	8720	8720	0.022936	0.022936	0.022936	0.068792	tors	1475,1476,1477
GA008	prefix	Greater Aureole Holy Freeze	207	20	early L50-65 freq 1 line 1481; mid L66-80 freq 1 line 1482; late L81-+ freq 2 line 1483	2	2	aura param=114 4-4	oran	tors		1	tors	8720	8720	0.022936	0.022936	0.022936	0.068792	tors	1481,1482,1483
GA009	prefix	Greater Aureole Meditation	207	29	early L50-65 freq 1 line 1484; mid L66-80 freq 1 line 1485; late L81-+ freq 2 line 1486	2	2	aura param=120 4-4	lyel	tors		1	tors	8720	8720	0.022936	0.022936	0.022936	0.068792	tors	1484,1485,1486
GA010	prefix	Greater Aureole Might	207	5	early L50-65 freq 1 line 1472; mid L66-80 freq 1 line 1473; late L81-+ freq 2 line 1474	2	2	aura param=98 4-4	lgry	tors		1	tors	8720	8720	0.022936	0.022936	0.022936	0.068792	tors	1472,1473,1474
