Greater candidate	Side	Group	Sample item	Greater weight	Apex weight before	Apex weight after	Current pool weight	After pool weight	Greater per slot after	Apex per slot before	Apex per slot after	Greater if 3 same-side slots	Apex if 3 same-side slots after	Greater vs apex after	Ordinary affix absolute drift	Apex rows counted	Apex baseline	Draft greater payload
Greater Gnostic	prefix	201	amul	16	16	160	468	4783	0.335%	3.419%	3.345%	1.169%	11.694%	10.0x rarer	-2.153%	Devil's; Gnostics	+5 random class skill rows in group 201	skill-rand +6, one class band per row
Greater Omniscient	prefix	125	amul	2	2	20	468	4783	0.042%	0.427%	0.418%	0.080%	0.795%	10.0x rarer	-2.153%	Omniscient	Omniscient/Sage's allskills in group 125	allskills +3 torso/amulet, +2 ring
Greater Sage	prefix	204	amul	2	2	20	468	4783	0.042%	0.427%	0.418%	0.165%	1.651%	10.0x rarer	-2.153%	Master Sage's	Master Sage's addxp in group 204	addxp 6
Greater Skilltab	prefix	125	amul	39	39	390	468	4783	0.815%	8.333%	8.154%	1.551%	15.509%	10.0x rarer	-2.153%	Accursed; Athlete's; Communal; Cunning; Echoing; Forbidden; Furious; Gaea's; Glacial; Golemlord's; Guardian's; Keeper's; Kenshi's; Malevolent; Marshal's; Powered; Rose Branded; Shadow; Torrid; Venomous; Volcanic	+3 skilltab rows in group 125	skilltab +4, one row per skill tree
Greater class skill	prefix	125	amul	30	30	300	468	4783	0.627%	6.410%	6.272%	1.193%	11.930%	10.0x rarer	-2.153%	Arch-Angel's; Arch-Devil's; Berserker's; Hierophant's; Necromancer's; Priest's; Valkyrie's; Witch-hunter's	+2 class skill rows, including Warlock, in group 125	+3 class skills on torso/amulet/circlet scopes
Greater Adamantine-Wrought	prefix	206	axe	4	4	40	1238	12436	0.032%	0.323%	0.322%	0.228%	2.280%	10.0x rarer	-0.450%	Adamantine-Wrought	Adamantine-Wrought ED/defense plus durability in group 206	weapon dmg% 110-130 or armor ac% 85-100 plus dur 80-100
Greater Celestial	prefix	123	axe	2	2	20	1238	12436	0.016%	0.162%	0.161%	0.120%	1.197%	10.0x rarer	-0.450%	Celestial	Celestial demon AR/damage in group 123	att-demon 451-550 plus dmg-demon 351-425
Greater Divine	prefix	142	axe	2	2	20	1238	12436	0.016%	0.162%	0.161%	0.119%	1.194%	10.0x rarer	-0.450%	Divine	Divine undead AR/damage in group 142	att-undead 500-650 plus dmg-undead 400-500
Greater Elemental	prefix	203	axe	2	2	20	1238	12436	0.016%	0.162%	0.161%	0.119%	1.194%	10.0x rarer	-0.450%	Elemental1	Elemental1 mixed elemental weapon row in group 203	dmg-elem above current range
Greater Grandmaster's	prefix	111	axe	14	14	140	1238	12436	0.113%	1.131%	1.126%	0.154%	1.542%	10.0x rarer	-0.450%	Grandmaster's; Wraithly1	Grandmaster's variants and Wraithly1 in group 111	dmg% 451-500 plus AR / Deadly / Crushing / Open Wounds rider
Greater Gritty	prefix	105	axe	14	14	140	1238	12436	0.113%	1.131%	1.126%	0.799%	7.993%	10.0x rarer	-0.450%	Gritty	Gritty damage-per-level in group 105	stronger dmg/lvl weapon scaling
Greater Platinum	prefix	110	axe	8	8	80	1238	12436	0.064%	0.646%	0.643%	0.442%	4.416%	10.0x rarer	-0.450%	Weird	highest attack-rating rows in group 110	att 351-450, item-scope split if needed
Greater Scorching/Shocking/Pestilent	prefix	138, 139, 140	axe	6	6	60	1238	12436	0.048%	0.485%	0.482%	0.357%	3.550%	10.0x rarer	-0.450%	Pestilent; Scorching; Shocking	weapon elemental damage prefixes in groups 138-140	one element per row, about 25-35% above current apex
Greater Savage	prefix	205	boot	4	4	40	777	7898	0.051%	0.515%	0.506%	0.502%	5.017%	10.0x rarer	-1.621%	Savage	Savage kick damage in group 205	kick 11-13
Greater Crushing/Fatal	prefix	202	glov	8	8	80	844	8574	0.093%	0.948%	0.933%	0.742%	7.421%	10.0x rarer	-1.563%	Crushing1; Fatal	Crushing and Fatal glove rows in group 202	crush/deadly 24-30, separate rows in same group
Greater Veracious	prefix	200	glov	2	2	20	844	8574	0.023%	0.237%	0.233%	0.189%	1.885%	10.0x rarer	-1.563%	Veracious1	Veracious attack% in group 200	att% 40-50
Greater Aureolin	prefix	121	jewl	8	8	80	160	1616	0.495%	5.000%	4.950%	1.607%	16.074%	10.0x rarer	-0.990%	Aureolin	Aureolin mana after kill in group 121	mana-kill 4-5
Greater Bloody	prefix	103	jewl	8	8	80	160	1616	0.495%	5.000%	4.950%	1.411%	14.113%	10.0x rarer	-0.990%	Bloody	Bloody min+max damage rows in group 103	dmg-min 9-12 plus dmg-max 18-24
Greater Avatar	prefix	137	lcha	1	1	10	279	2852	0.035%	0.358%	0.351%	0.102%	1.020%	10.0x rarer	-2.174%	Avatar	Avatar elemental large charm row in group 137	dmg-elem 35-45
Greater Hulking	prefix	143	lcha	6	6	60	279	2852	0.210%	2.151%	2.104%	0.668%	6.681%	10.0x rarer	-2.174%	Hulking	Hulking normal damage large charm in group 143	dmg-norm 70-85
Greater Lucky	prefix	114	lcha	6	6	60	279	2852	0.210%	2.151%	2.104%	0.684%	6.836%	10.0x rarer	-2.174%	Lucky	Lucky mag% plus gold% in group 114	mag% 30-35 plus gold% 60-70
Greater Ruby/Sapphire/Amber/Emerald	prefix	117, 118, 119, 120	lcha	24	24	240	279	2852	0.842%	8.602%	8.415%	2.591%	24.344%	10.0x rarer	-2.174%	Amber; Emerald; Ruby; Sapphire	single-element large charm resist rows in groups 117-120	single resist 34-40, one element per row
Greater Serpent's	prefix	115	lcha	3	3	30	279	2852	0.105%	1.075%	1.052%	0.331%	3.305%	10.0x rarer	-2.174%	Serpent's	Serpent's mana in group 115	mana 70-85
Greater Serrated	prefix	104	lcha	3	3	30	279	2852	0.105%	1.075%	1.052%	0.338%	3.384%	10.0x rarer	-2.174%	Serrated	Serrated large charm enhanced damage in group 104	dmg% 30-35 on large charms
Greater Shimmering	prefix	116	lcha	3	3	30	279	2852	0.105%	1.075%	1.052%	0.334%	3.345%	10.0x rarer	-2.174%	Shimmering	Shimmering all resistance in group 116	res-all 15-18
Greater missile prefixes	prefix	220, 221, 222, 223, 224, 225, 226, 227	misl	30	30	300	90	930	3.226%	33.333%	32.258%	9.369%	68.913%	10.0x rarer	-3.226%	Apprentice; Corosive; Flaming; Jagged; Lizard's; Sharp; Shivering; Static; Sturdy	missile-only prefix groups 220-227	stronger quiver/missile weapon stat family rows
Greater Antimagic	prefix	102	shld	8	8	80	855	8688	0.092%	0.936%	0.921%	0.744%	7.441%	10.0x rarer	-1.588%	Antimagic	Antimagic res-mag 16-20 in group 102	res-mag 24-30
Greater Vulpine	prefix	107	shld	6	6	60	855	8688	0.069%	0.702%	0.691%	0.603%	6.030%	10.0x rarer	-1.588%	Vulpine	Vulpine damage-to-mana in group 107	dmg-to-mana 16-20
Greater Aureole	prefix	207	tors	2	2	20	857	8736	0.023%	0.233%	0.229%	0.187%	1.872%	10.0x rarer	-1.900%	Aureole	Aureole aura rows in group 207	higher aura level; needs per-aura balance
Greater Godly	prefix	101	tors	118	118	1180	857	8736	1.351%	13.769%	13.507%	1.759%	17.589%	10.0x rarer	-1.900%	Godly; Invulnerable1; Wraithly1	Godly, Invulnerable1, armor Wraithly1 in group 101	ac% 250-300 plus red-dmg% 26-30
