candidate_id	candidate	side	item_type	group	band	level	maxlevel	levelreq	frequency	source_apex_line	source_apex_name	source_apex_level	source_apex_maxlevel	source_apex_levelreq	source_apex_frequency
greater-grandmasters	Greater Grandmaster's	prefix	abow	111	early	50	65	75	1	75	Grandmaster's	84		88	4
greater-grandmasters	Greater Grandmaster's	prefix	abow	111	mid	66	80	75	3	75	Grandmaster's	84		88	4
greater-grandmasters	Greater Grandmaster's	prefix	abow	111	late	81		75	4	75	Grandmaster's	84		88	4
greater-grandmasters	Greater Grandmaster's	prefix	abow	111	early	50	65	75	1	76	Grandmaster's	86		88	2
greater-grandmasters	Greater Grandmaster's	prefix	abow	111	mid	66	80	75	1	76	Grandmaster's	86		88	2
greater-grandmasters	Greater Grandmaster's	prefix	abow	111	late	81		75	2	76	Grandmaster's	86		88	2
greater-grandmasters	Greater Grandmaster's	prefix	abow	111	early	50	65	75	1	77	Grandmaster's	86		88	2
greater-grandmasters	Greater Grandmaster's	prefix	abow	111	mid	66	80	75	1	77	Grandmaster's	86		88	2
greater-grandmasters	Greater Grandmaster's	prefix	abow	111	late	81		75	2	77	Grandmaster's	86		88	2
greater-grandmasters	Greater Grandmaster's	prefix	abow	111	early	50	65	75	1	78	Grandmaster's	86		88	2
greater-grandmasters	Greater Grandmaster's	prefix	abow	111	mid	66	80	75	1	78	Grandmaster's	86		88	2
greater-grandmasters	Greater Grandmaster's	prefix	abow	111	late	81		75	2	78	Grandmaster's	86		88	2
greater-grandmasters	Greater Grandmaster's	prefix	abow	111	early	50	65	68	1	98	Wraithly1	86		80	4
greater-grandmasters	Greater Grandmaster's	prefix	abow	111	mid	66	80	68	3	98	Wraithly1	86		80	4
greater-grandmasters	Greater Grandmaster's	prefix	abow	111	late	81		68	4	98	Wraithly1	86		80	4
greater-gritty	Greater Gritty	prefix	abow	105	early	50	65	55	5	153	Gritty	75		65	14
greater-gritty	Greater Gritty	prefix	abow	105	mid	66	80	55	9	153	Gritty	75		65	14
greater-gritty	Greater Gritty	prefix	abow	105	late	81		55	14	153	Gritty	75		65	14
greater-platinum	Greater Platinum	prefix	abow	110	early	50	65	34	3	120	Weird	44		40	8
greater-platinum	Greater Platinum	prefix	abow	110	mid	66	80	34	5	120	Weird	44		40	8
greater-platinum	Greater Platinum	prefix	abow	110	late	81		34	8	120	Weird	44		40	8
greater-serpents	Greater Serpent's	prefix	abow	115	early	50	65	23	1	398	Serpent's	37		27	4
greater-serpents	Greater Serpent's	prefix	abow	115	mid	66	80	23	3	398	Serpent's	37		27	4
greater-serpents	Greater Serpent's	prefix	abow	115	late	81		23	4	398	Serpent's	37		27	4
greater-single-resist-charm	Greater Ruby/Sapphire/Amber/Emerald	prefix	abow	117	early	50	65	35	1	353	Cobalt	55		41	4
greater-single-resist-charm	Greater Ruby/Sapphire/Amber/Emerald	prefix	abow	117	mid	66	80	35	3	353	Cobalt	55		41	4
greater-single-resist-charm	Greater Ruby/Sapphire/Amber/Emerald	prefix	abow	117	late	81		35	4	353	Cobalt	55		41	4
greater-single-resist-charm	Greater Ruby/Sapphire/Amber/Emerald	prefix	abow	118	early	50	65	35	1	360	Garnet	55		41	2
greater-single-resist-charm	Greater Ruby/Sapphire/Amber/Emerald	prefix	abow	118	mid	66	80	35	1	360	Garnet	55		41	2
greater-single-resist-charm	Greater Ruby/Sapphire/Amber/Emerald	prefix	abow	118	late	81		35	2	360	Garnet	55		41	2
greater-single-resist-charm	Greater Ruby/Sapphire/Amber/Emerald	prefix	abow	119	early	50	65	35	1	368	Coral	55		41	2
greater-single-resist-charm	Greater Ruby/Sapphire/Amber/Emerald	prefix	abow	119	mid	66	80	35	1	368	Coral	55		41	2
greater-single-resist-charm	Greater Ruby/Sapphire/Amber/Emerald	prefix	abow	119	late	81		35	2	368	Coral	55		41	2
greater-single-resist-charm	Greater Ruby/Sapphire/Amber/Emerald	prefix	abow	120	early	50	65	35	1	376	Jade	55		41	2
greater-single-resist-charm	Greater Ruby/Sapphire/Amber/Emerald	prefix	abow	120	mid	66	80	35	1	376	Jade	55		41	2
greater-single-resist-charm	Greater Ruby/Sapphire/Amber/Emerald	prefix	abow	120	late	81		35	2	376	Jade	55		41	2
greater-aureolin	Greater Aureolin	prefix	abow	121	early	50	65	10	3	410	Victorious	17		12	8
greater-aureolin	Greater Aureolin	prefix	abow	121	mid	66	80	10	5	410	Victorious	17		12	8
greater-aureolin	Greater Aureolin	prefix	abow	121	late	81		10	8	410	Victorious	17		12	8
greater-celestial	Greater Celestial	prefix	abow	123	early	50	65	35	1	104	Celestial	55		41	2
greater-celestial	Greater Celestial	prefix	abow	123	mid	66	80	35	1	104	Celestial	55		41	2
greater-celestial	Greater Celestial	prefix	abow	123	late	81		35	2	104	Celestial	55		41	2
greater-class-skill	Greater class skill	prefix	abow	125	early	50	65	36	1	198	Valkyrie's	50		42	4
greater-class-skill	Greater class skill	prefix	abow	125	mid	66	80	36	3	198	Valkyrie's	50		42	4
greater-class-skill	Greater class skill	prefix	abow	125	late	81		36	4	198	Valkyrie's	50		42	4
greater-skilltab	Greater Skilltab	prefix	abow	125	early	50	65	38	1	241	Archer's	60		45	2
greater-skilltab	Greater Skilltab	prefix	abow	125	mid	66	80	38	1	241	Archer's	60		45	2
greater-skilltab	Greater Skilltab	prefix	abow	125	late	81		38	2	241	Archer's	60		45	2
greater-avatar	Greater Avatar	prefix	abow	137	early	50	65	51	1	333	Hibernal	70		60	2
greater-avatar	Greater Avatar	prefix	abow	137	mid	66	80	51	1	333	Hibernal	70		60	2
greater-avatar	Greater Avatar	prefix	abow	137	late	81		51	2	333	Hibernal	70		60	2
greater-weapon-elemental-prefix	Greater Scorching/Shocking/Pestilent	prefix	abow	138	early	50	65	57	1	338	Scorching	77		67	2
greater-weapon-elemental-prefix	Greater Scorching/Shocking/Pestilent	prefix	abow	138	mid	66	80	57	1	338	Scorching	77		67	2
greater-weapon-elemental-prefix	Greater Scorching/Shocking/Pestilent	prefix	abow	138	late	81		57	2	338	Scorching	77		67	2
greater-weapon-elemental-prefix	Greater Scorching/Shocking/Pestilent	prefix	abow	139	early	50	65	56	1	343	Shocking	76		66	2
greater-weapon-elemental-prefix	Greater Scorching/Shocking/Pestilent	prefix	abow	139	mid	66	80	56	1	343	Shocking	76		66	2
greater-weapon-elemental-prefix	Greater Scorching/Shocking/Pestilent	prefix	abow	139	late	81		56	2	343	Shocking	76		66	2
greater-weapon-elemental-prefix	Greater Scorching/Shocking/Pestilent	prefix	abow	140	early	50	65	31	1	348	Pestilent	50		37	2
greater-weapon-elemental-prefix	Greater Scorching/Shocking/Pestilent	prefix	abow	140	mid	66	80	31	1	348	Pestilent	50		37	2
greater-weapon-elemental-prefix	Greater Scorching/Shocking/Pestilent	prefix	abow	140	late	81		31	2	348	Pestilent	50		37	2
greater-divine	Greater Divine	prefix	abow	142	early	50	65	31	1	110	Divine	45		37	2
greater-divine	Greater Divine	prefix	abow	142	mid	66	80	31	1	110	Divine	45		37	2
greater-divine	Greater Divine	prefix	abow	142	late	81		31	2	110	Divine	45		37	2
greater-veracious	Greater Veracious	prefix	abow	200	early	50	65	64	1	134	Veracious1	85		75	2
greater-veracious	Greater Veracious	prefix	abow	200	mid	66	80	64	1	134	Veracious1	85		75	2
greater-veracious	Greater Veracious	prefix	abow	200	late	81		64	2	134	Veracious1	85		75	2
greater-elemental-prefix	Greater Elemental	prefix	abow	203	early	50	65	65	1	449	Elemental1	80		77	2
greater-elemental-prefix	Greater Elemental	prefix	abow	203	mid	66	80	65	1	449	Elemental1	80		77	2
greater-elemental-prefix	Greater Elemental	prefix	abow	203	late	81		65	2	449	Elemental1	80		77	2
greater-sage-xp	Greater Sage	prefix	abow	204	early	50	65	39	2	452	Sage's	51		46	6
greater-sage-xp	Greater Sage	prefix	abow	204	mid	66	80	39	4	452	Sage's	51		46	6
greater-sage-xp	Greater Sage	prefix	abow	204	late	81		39	6	452	Sage's	51		46	6
greater-adamantine-wrought	Greater Adamantine-Wrought	prefix	abow	206	early	50	65	55	1	468	Adamantine-Wrought	87		65	4
greater-adamantine-wrought	Greater Adamantine-Wrought	prefix	abow	206	mid	66	80	55	3	468	Adamantine-Wrought	87		65	4
greater-adamantine-wrought	Greater Adamantine-Wrought	prefix	abow	206	late	81		55	4	468	Adamantine-Wrought	87		65	4
greater-grandmasters	Greater Grandmaster's	prefix	afwe	111	early	50	65	75	1	75	Grandmaster's	84		88	4
greater-grandmasters	Greater Grandmaster's	prefix	afwe	111	mid	66	80	75	3	75	Grandmaster's	84		88	4
greater-grandmasters	Greater Grandmaster's	prefix	afwe	111	late	81		75	4	75	Grandmaster's	84		88	4
greater-grandmasters	Greater Grandmaster's	prefix	afwe	111	early	50	65	75	1	76	Grandmaster's	86		88	2
greater-grandmasters	Greater Grandmaster's	prefix	afwe	111	mid	66	80	75	1	76	Grandmaster's	86		88	2
greater-grandmasters	Greater Grandmaster's	prefix	afwe	111	late	81		75	2	76	Grandmaster's	86		88	2
greater-grandmasters	Greater Grandmaster's	prefix	afwe	111	early	50	65	75	1	77	Grandmaster's	86		88	2
greater-grandmasters	Greater Grandmaster's	prefix	afwe	111	mid	66	80	75	1	77	Grandmaster's	86		88	2
greater-grandmasters	Greater Grandmaster's	prefix	afwe	111	late	81		75	2	77	Grandmaster's	86		88	2
greater-grandmasters	Greater Grandmaster's	prefix	afwe	111	early	50	65	75	1	78	Grandmaster's	86		88	2
greater-grandmasters	Greater Grandmaster's	prefix	afwe	111	mid	66	80	75	1	78	Grandmaster's	86		88	2
greater-grandmasters	Greater Grandmaster's	prefix	afwe	111	late	81		75	2	78	Grandmaster's	86		88	2
greater-grandmasters	Greater Grandmaster's	prefix	afwe	111	early	50	65	68	1	98	Wraithly1	86		80	4
greater-grandmasters	Greater Grandmaster's	prefix	afwe	111	mid	66	80	68	3	98	Wraithly1	86		80	4
greater-grandmasters	Greater Grandmaster's	prefix	afwe	111	late	81		68	4	98	Wraithly1	86		80	4
greater-gritty	Greater Gritty	prefix	afwe	105	early	50	65	55	5	153	Gritty	75		65	14
greater-gritty	Greater Gritty	prefix	afwe	105	mid	66	80	55	9	153	Gritty	75		65	14
greater-gritty	Greater Gritty	prefix	afwe	105	late	81		55	14	153	Gritty	75		65	14
greater-platinum	Greater Platinum	prefix	afwe	110	early	50	65	34	3	120	Weird	44		40	8
greater-platinum	Greater Platinum	prefix	afwe	110	mid	66	80	34	5	120	Weird	44		40	8
greater-platinum	Greater Platinum	prefix	afwe	110	late	81		34	8	120	Weird	44		40	8
greater-serpents	Greater Serpent's	prefix	afwe	115	early	50	65	23	1	398	Serpent's	37		27	4
greater-serpents	Greater Serpent's	prefix	afwe	115	mid	66	80	23	3	398	Serpent's	37		27	4
greater-serpents	Greater Serpent's	prefix	afwe	115	late	81		23	4	398	Serpent's	37		27	4
greater-single-resist-charm	Greater Ruby/Sapphire/Amber/Emerald	prefix	afwe	117	early	50	65	35	1	353	Cobalt	55		41	4
greater-single-resist-charm	Greater Ruby/Sapphire/Amber/Emerald	prefix	afwe	117	mid	66	80	35	3	353	Cobalt	55		41	4
greater-single-resist-charm	Greater Ruby/Sapphire/Amber/Emerald	prefix	afwe	117	late	81		35	4	353	Cobalt	55		41	4
greater-single-resist-charm	Greater Ruby/Sapphire/Amber/Emerald	prefix	afwe	118	early	50	65	35	1	360	Garnet	55		41	2
greater-single-resist-charm	Greater Ruby/Sapphire/Amber/Emerald	prefix	afwe	118	mid	66	80	35	1	360	Garnet	55		41	2
greater-single-resist-charm	Greater Ruby/Sapphire/Amber/Emerald	prefix	afwe	118	late	81		35	2	360	Garnet	55		41	2
greater-single-resist-charm	Greater Ruby/Sapphire/Amber/Emerald	prefix	afwe	119	early	50	65	35	1	368	Coral	55		41	2
greater-single-resist-charm	Greater Ruby/Sapphire/Amber/Emerald	prefix	afwe	119	mid	66	80	35	1	368	Coral	55		41	2
greater-single-resist-charm	Greater Ruby/Sapphire/Amber/Emerald	prefix	afwe	119	late	81		35	2	368	Coral	55		41	2
