side	sample_item	line	group	name	mods	current_freq	proposed_freq	current_pool_weight	after_regular_weight	after_greater_weight	after_total_weight	before_per_slot	after_per_slot_existing_only	after_per_slot_with_greater	existing_only_relative_delta	with_greater_relative_delta
prefix	amul	116	110	Gold	att 81-100	12	120	468	4680	149	4829	0.02564102564102564	0.02564102564102564	0.024849865396562434	0.0	-0.030855249534065043
prefix	amul	190	125	Sage's	allskills 1-1	2	20	468	4680	149	4829	0.004273504273504274	0.004273504273504274	0.0041416442327604054	0.0	-0.030855249534065265
prefix	amul	192	125	Omniscient	allskills 2-2	2	20	468	4680	149	4829	0.004273504273504274	0.004273504273504274	0.0041416442327604054	0.0	-0.030855249534065265
prefix	amul	193	125	Maiden's	ama 1-1	8	80	468	4680	149	4829	0.017094017094017096	0.017094017094017096	0.016566576931041622	0.0	-0.030855249534065265
prefix	amul	196	125	Valkyrie's	ama 2-2	4	40	468	4680	149	4829	0.008547008547008548	0.008547008547008548	0.008283288465520811	0.0	-0.030855249534065265
prefix	amul	200	125	Monk's	pal 1-1	8	80	468	4680	149	4829	0.017094017094017096	0.017094017094017096	0.016566576931041622	0.0	-0.030855249534065265
prefix	amul	202	125	Priest's	pal 2-2	4	40	468	4680	149	4829	0.008547008547008548	0.008547008547008548	0.008283288465520811	0.0	-0.030855249534065265
prefix	amul	207	125	Summoner's	nec 1-1	8	80	468	4680	149	4829	0.017094017094017096	0.017094017094017096	0.016566576931041622	0.0	-0.030855249534065265
prefix	amul	210	125	Necromancer's	nec 2-2	4	40	468	4680	149	4829	0.008547008547008548	0.008547008547008548	0.008283288465520811	0.0	-0.030855249534065265
prefix	amul	213	125	Angel's	sor 1-1	8	80	468	4680	149	4829	0.017094017094017096	0.017094017094017096	0.016566576931041622	0.0	-0.030855249534065265
prefix	amul	216	125	Arch-Angel's	sor 2-2	4	40	468	4680	149	4829	0.008547008547008548	0.008547008547008548	0.008283288465520811	0.0	-0.030855249534065265
prefix	amul	219	125	Slayer's	bar 1-1	8	80	468	4680	149	4829	0.017094017094017096	0.017094017094017096	0.016566576931041622	0.0	-0.030855249534065265
prefix	amul	222	125	Berserker's	bar 2-2	4	40	468	4680	149	4829	0.008547008547008548	0.008547008547008548	0.008283288465520811	0.0	-0.030855249534065265
prefix	amul	227	125	Shaman's	dru 1-1	8	80	468	4680	149	4829	0.017094017094017096	0.017094017094017096	0.016566576931041622	0.0	-0.030855249534065265
prefix	amul	230	125	Hierophant's	dru 2-2	4	40	468	4680	149	4829	0.008547008547008548	0.008547008547008548	0.008283288465520811	0.0	-0.030855249534065265
prefix	amul	233	125	Magekiller's	ass 1-1	8	80	468	4680	149	4829	0.017094017094017096	0.017094017094017096	0.016566576931041622	0.0	-0.030855249534065265
prefix	amul	236	125	Witch-hunter's	ass 2-2	4	40	468	4680	149	4829	0.008547008547008548	0.008547008547008548	0.008283288465520811	0.0	-0.030855249534065265
prefix	amul	242	125	Acrobat's	skilltab(1) 1-1	2	20	468	4680	149	4829	0.004273504273504274	0.004273504273504274	0.0041416442327604054	0.0	-0.030855249534065265
prefix	amul	243	125	Gymnast's	skilltab(1) 2-2	2	20	468	4680	149	4829	0.004273504273504274	0.004273504273504274	0.0041416442327604054	0.0	-0.030855249534065265
prefix	amul	244	125	Athlete's	skilltab(1) 3-3	2	20	468	4680	149	4829	0.004273504273504274	0.004273504273504274	0.0041416442327604054	0.0	-0.030855249534065265
prefix	amul	248	125	Burning	skilltab(3) 1-1	2	20	468	4680	149	4829	0.004273504273504274	0.004273504273504274	0.0041416442327604054	0.0	-0.030855249534065265
prefix	amul	249	125	Blazing	skilltab(3) 2-2	2	20	468	4680	149	4829	0.004273504273504274	0.004273504273504274	0.0041416442327604054	0.0	-0.030855249534065265
prefix	amul	250	125	Volcanic	skilltab(3) 3-3	2	20	468	4680	149	4829	0.004273504273504274	0.004273504273504274	0.0041416442327604054	0.0	-0.030855249534065265
prefix	amul	251	125	Sparking	skilltab(4) 1-1	2	20	468	4680	149	4829	0.004273504273504274	0.004273504273504274	0.0041416442327604054	0.0	-0.030855249534065265
prefix	amul	252	125	Charged	skilltab(4) 2-2	2	20	468	4680	149	4829	0.004273504273504274	0.004273504273504274	0.0041416442327604054	0.0	-0.030855249534065265
prefix	amul	253	125	Powered	skilltab(4) 3-3	2	20	468	4680	149	4829	0.004273504273504274	0.004273504273504274	0.0041416442327604054	0.0	-0.030855249534065265
prefix	amul	254	125	Chilling	skilltab(5) 1-1	2	20	468	4680	149	4829	0.004273504273504274	0.004273504273504274	0.0041416442327604054	0.0	-0.030855249534065265
prefix	amul	255	125	Freezing	skilltab(5) 2-2	2	20	468	4680	149	4829	0.004273504273504274	0.004273504273504274	0.0041416442327604054	0.0	-0.030855249534065265
prefix	amul	256	125	Glacial	skilltab(5) 3-3	2	20	468	4680	149	4829	0.004273504273504274	0.004273504273504274	0.0041416442327604054	0.0	-0.030855249534065265
prefix	amul	257	125	Hexing	skilltab(6) 1-1	2	20	468	4680	149	4829	0.004273504273504274	0.004273504273504274	0.0041416442327604054	0.0	-0.030855249534065265
