table	line	name	set	spawnable	disabled	item_code	item_name	category	tier	type	type2	current_lvl	proposed_lvl	delta	current_lvl_req	base_levelreq	normal_code	exceptional_code	elite_code
set	21	Vidala's Ambush	Vidala's Rig	1		lea	Leather Armor	armor	normal	tors		10	3	-7	14	0	lea	xea	uea
set	34	Tancred's Hobnails	Tancred's Battlegear	1		lbt	Boots	armor	normal	boot		12	3	-9	20	0	lbt	xlb	ulb
set	62	Arcanna's Head	Arcanna's Tricks	1		skp	Skull Cap	armor	normal	helm		12	5	-7	15	0	skp	xkp	ukp
set	73	Immortal King's Will	Immortal King	1		ba5	Avenger Guard	armor	normal	phlm		37	24	-13	47	18	ba5	baa	baf
set	100	Rite of Passage	The Disciple	1		xlb	Demonhide Boots	armor	exceptional	boot		39	36	-3	29	24	lbt	xlb	ulb
set	105	Haemosu's Adamant	Heaven's Brethren	1		xrs	Cuirass	armor	exceptional	tors		55	47	-8	44	25	brs	xrs	urs
set	109	Magnus' Skin	Orphan's Call	1		xvg	Sharkskin Gloves	armor	exceptional	glov		41	39	-2	37	25	vgl	xvg	uvg
set	110	Whitstan's Guard	Orphan's Call	1		xml	Round Shield	armor	exceptional	shie		41	37	-4	29	25	sml	xml	uml
set	113	Hwanin's Blessing	Hwanin's Majesty	1		mbl	Belt	armor	normal	belt		28	12	-16	35	0	mbl	zmb	umc
set	121	Cow King's Hide	Cow King's Leathers	1		stu	Studded Leather	armor	normal	tors		20	8	-12	18	0	stu	xtu	utu
set	122	Cow King's Hooves	Cow King's Leathers	1		vbt	Heavy Boots	armor	normal	boot		20	7	-13	13	0	vbt	xvb	uvb
set	125	Naj's Circlet	Naj's Ancient Vestige	1		ci0	Circlet	armor	normal	circ		43	24	-19	28	16	ci0	ci2	ci3
set	126	Sander's Paragon	Sander's Folly	1		cap	Cap	armor	normal	helm		20	1	-19	25	0	cap	xap	uap
set	127	Sander's Riprap	Sander's Folly	1		vbt	Heavy Boots	armor	normal	boot		20	7	-13	20	0	vbt	xvb	uvb
set	128	Sander's Taboo	Sander's Folly	1		vgl	Heavy Gloves	armor	normal	glov		20	7	-13	28	0	vgl	xvg	uvg
set	129	Sander's Superstition	Sander's Folly	1		bwn	Bone Wand	weapon	normal	wand	1wep	20	18	-2	25	0	bwn	9bw	7bw
set	130	Warlord's Conquest	Warlord's Glory			hgl	Gauntlets	armor	normal	glov		100	27	-73	1	0	hgl	xhg	uhg
set	131	Warlord's Lust	Warlord's Glory			ghm	Great Helm	armor	normal	helm		100	23	-77	1	0	ghm	xhm	uhm
set	132	Warlord's Mantle	Warlord's Glory			ful	Full Plate Mail	armor	normal	tors		100	37	-63	1	0	ful	xul	uul
set	133	Warlord's Crushers	Warlord's Glory			hbt	Greaves	armor	normal	boot		100	27	-73	1	0	hbt	xhb	uhb
set	134	Warlord's Authority	Warlord's Glory			hbl	Plated Belt	armor	normal	belt		100	27	-73	1	0	hbl	zhb	uhc
set	136	Bane's Wraithskin	Bane's Garments	1		hla	Hard Leather Armor	armor	normal	tors		7	5	-2	8	0	hla	xla	ula
set	140	Horazon's Hold	Horazon's Splendor	1		xlg	Demonhide Gloves	armor	exceptional	glov		40	33	-7	48	21	lgl	xlg	ulg
set	145	Jakira's Hood	Midnight Calling	1		skp	Skull Cap	armor	normal	helm		10	5	-5	5	0	skp	xkp	ukp
set	146	Jakira's Leather Jerkin	Midnight Calling	1		stu	Studded Leather Armor	armor	normal	tors		10	8	-2	9	0	stu	xtu	utu
set	149	Calming Embrace	Nature's Grove	1		hla	Hard Leather Armor	armor	normal	tors		12	5	-7	7	0	hla	xla	ula
set	151	Grimlock's Skull	Grimlock's Grave	1		ne2	Zombie Head	armor	normal	head		11	8	-3	16	6	ne2	ne7	neg
set	153	Grimlock's Shroud	Grimlock's Grave	1		qui	Quilted Armor	armor	normal	tors		11	1	-10	11	0	qui	xui	uui
set	155	Corgina's Orb	Corgina's Element	1		ob2	Sacred Globe	weapon	normal	orb	1wep	15	8	-7	15	0	ob2	ob7	obc
set	157	Corgina's Ward	Corgina's Element	1		lrg	Large Shield	armor	normal	shie		12	11	-1	14	0	lrg	xrg	urg
set	158	Corgina's Slippers	Corgina's Element	1		lbt	Boots	armor	normal	boot		9	3	-6	9	0	lbt	xlb	ulb
set	161	Sheena's Elven Mail	Sheena's Grace	1		scl	Scale Mail	armor	normal	tors		16	13	-3	14	0	scl	xcl	ucl
set	162	Sheena's Band	Sheena's Grace	1		vbl	Light Belt	armor	normal	belt		8	7	-1	10	0	vbl	zvb	uvc
set	168	Greyhawk's Icebrand	Greyhawk's Mantle	1		scp	Scepter	weapon	normal	scep	1wep	17	3	-14	14	0	scp	9sc	7sc
set	169	Greyhawk's Deflector	Greyhawk's Mantle	1		pa3	Heraldic Shield	armor	normal	ashd		17	16	-1	15	12	pa3	pa8	pad
set	170	Greyhawk's Viser	Greyhawk's Mantle	1		fhl	Full Helm	armor	normal	helm		17	15	-2	13	0	fhl	xhl	uhl
set	172	Ferrit's Paw	Silent Runnings	1		vgl	Heavy Gloves	armor	normal	glov		12	7	-5	14	0	vgl	xvg	uvg
set	187	Janis' Gloves	Forgotten Treasures	1		vgl	Heavy Gloves	armor	normal	glov		10	7	-3	10	0	vgl	xvg	uvg
set	205	Full Moon Frenzy	Red Havoc's Challenge	1		dr6	Alpha Helm	armor	exceptional	pelt		30	26	-4	33	26	dr1	dr6	drb
set	219	Night's Caress	JBouley's Scion	1		xlg	Demonhide Gloves	armor	exceptional	glov		35	33	-2	32	21	lgl	xlg	ulg
set	258	Darkmage's Celestial Fury	Darkmage's Astral Projection	1		uap	Shako	armor	elite	helm		60	58	-2	80	43	cap	xap	uap
set	300	Kingpin's Crown	Treasure Hunter	1		uap	Shako	armor	elite	helm		60	58	-2	61	43	cap	xap	uap
set	311	Tortured Soul Gauntlets	The Warlord of Blood	1		hgl	Gauntlets	armor	normal	glov		28	27	-1	29	0	hgl	xhg	uhg
set	312	Hell's Torment Greaves	The Warlord of Blood	1		hbt	Greaves	armor	normal	boot		28	27	-1	31	0	hbt	xhb	uhb
set	318	Lich's Rites	Darque Necromancy	1		uuc	Heater	armor	elite	shie		60	58	-2	63	43	buc	xuc	uuc
set	326	Momentum Theft	Sines Psionics	1		xui	Ghost Armor	armor	exceptional	tors		50	34	-16	50	22	qui	xui	uui
set	340	Taint of Saidin	Dragon Reborn	1		uuc	Heater	armor	elite	shie		60	58	-2	67	43	buc	xuc	uuc
set	341	Aviendha's Gift	Dragon Reborn	1		vbt	Heavy Boots	armor	normal	boot		10	7	-3	21	0	vbt	xvb	uvb
set	353	Haunted Wisdom	Haunted Asylum	1		uhl	Giant Conch	armor	elite	helm		60	54	-6	65	40	fhl	xhl	uhl
set	359	Vampirebone Dagger	Forbidden Lore	1		7dg	Bone Knife	weapon	elite	knif	1wep	60	58	-2	63	43	dgr	9dg	7dg
set	382	Teleomortis' Gloves	Warlock's Exploration	1		ulg	Bramble Mitts	armor	elite	glov		60	57	-3	75	42	lgl	xlg	ulg
set	397	Yavin's Infernal Visage	Corthala Family Heirlooms	1		uhl	Giant Conch	armor	elite	helm		60	54	-6	81	40	fhl	xhl	uhl
set	401	Baton of Intrepidity	Knight's Gallantry	1		7cl	Truncheon	weapon	elite	club	1wep	60	52	-8	68	39	clb	9cl	7cl
set	442	The Raven's Talons	The Raven's Nest	1		lgl	Leather Gloves	armor	normal	glov		5	3	-2	10	0	lgl	xlg	ulg
set	448	Bulwark of the Vindicator	Tools of Vindication	1		pa9	Gilded Shield	armor	exceptional	ashd		59	51	-8	60	38	pa4	pa9	pae
set	450	Panda's Pelt	Panda's Polar Adventure	1		dr6	Alpha Helm	armor	exceptional	pelt		30	26	-4	50	26	dr1	dr6	drb
set	451	Panda's Mitts	Panda's Polar Adventure	1		lgl	Leather Gloves	armor	normal	glov		12	3	-9	12	0	lgl	xlg	ulg
set	452	Panda's Coat	Panda's Polar Adventure	1		uui	Dusk Shroud	armor	elite	tors		70	65	-5	80	49	qui	xui	uui
set	453	Panda's Sash	Panda's Polar Adventure	1		lbl	Sash	armor	normal	belt		25	3	-22	35	0	lbl	zlb	ulc
set	455	Shackles of the Veiled Belt	Deus et Diabolus	1		uvc	Vampirefang Belt	armor	elite	belt		80	68	-12	80	51	vbl	zvb	uvc
set	456	Grasp of Lament	Deus et Diabolus	1		xlg	Demonhide Gloves	armor	exceptional	glov		70	33	-37	76	21	lgl	xlg	ulg
unique	31	Akara's Wrath		1		crs	Crystal Sword	weapon	normal	swor	1wep	12	11	-1	13	0	crs	9cr	7cr
unique	35	Shadowfang		1		2hs	2-Handed Sword	weapon	normal	swor	slam	12	10	-2	12	0	2hs	92h	72h
unique	37	Kinemil's Awl		1		gis	Giant Sword	weapon	normal	swor	slam	31	21	-10	23	0	gis	9gs	7gs
unique	49	The Tannr Gorerod		1		pik	Pike	weapon	normal	spea		25	24	-1	27	0	pik	9p9	7p7
unique	51	Steelgoad		1		vou	Voulge	weapon	normal	pole	slam	12	11	-1	14	0	vou	9vo	7vo
unique	63	Raven Claw		1		lbw	Long Bow	weapon	normal	bow		12	8	-4	15	0	lbw	8lb	6lb
unique	67	Hellclap		1		6sw	ward bow	weapon	elite	bow		85	80	-5	90	60	swb	8sw	6sw
unique	74	Tarnhelm		1		skp	Skull Cap	armor	normal	helm		12	5	-7	15	0	skp	xkp	ukp
unique	75	Coif of Glory		1		hlm	Helm	armor	normal	helm		12	11	-1	14	0	hlm	xlm	ulm
unique	81	Greyform		1		qui	Quilted Armor	armor	normal	tors		10	1	-9	7	0	qui	xui	uui
unique	83	The Centurion		1		hla	Hard Leather	armor	normal	tors		12	5	-7	14	0	hla	xla	ula
unique	84	Twitchthroe		1		stu	Studded Leather	armor	normal	tors		12	8	-4	16	0	stu	xtu	utu
unique	85	Darkglow		1		rng	Ring Mail	armor	normal	tors		17	11	-6	25	0	rng	xng	ung
unique	90	Boneflesh		1		plt	Plate Mail	armor	normal	tors		25	24	-1	26	0	plt	xlt	ult
unique	98	Stormguild		1		lrg	Large Shield	armor	normal	shie		12	11	-1	13	0	lrg	xrg	urg
unique	100	Swordback Hold		1		spk	Spiked Shield	armor	normal	shie		12	11	-1	15	0	spk	xpk	upk
unique	108	Frostburn		1		hgl	Gauntlets	armor	normal	glov		35	27	-8	45	0	hgl	xhg	uhg
unique	117	Goldwrap		1		tbl	Heavy Belt	armor	normal	belt		25	20	-5	27	0	tbl	ztb	utc
unique	134	Islestrike		1		92a	Twin Axe	weapon	exceptional	axe	1wep	40	39	-1	43	25	2ax	92a	72a
unique	149	Hand of Blessed Light		1		9ws	Divine Scepter	weapon	exceptional	scep	1wep	50	45	-5	55	25	wsp	9ws	7ws
unique	185	Grim's Burning Dead		1		9wc	Grim Scythe	weapon	exceptional	pole	slam	70	55	-15	75	25	wsc	9wc	7wc
unique	187	Ribcracker		1		8ls	Quarterstaff	weapon	exceptional	staf	slam	43	35	-8	45	23	lst	8ls	6ls
unique	188	Chromatic Ire		1		8cs	Cedar Staff	weapon	exceptional	staf	slam	43	38	-5	45	25	cst	8cs	6cs
unique	236	Gravepalm		1		xvg	Sharkskin Gloves	armor	exceptional	glov		43	39	-4	55	25	vgl	xvg	uvg
unique	251	Harlequin Crest		1		uap	Shako	armor	elite	helm		60	58	-2	62	43	cap	xap	uap
unique	253	The Gladiator's Bane		1		utu	Wire Fleece	armor	elite	tors		85	70	-15	85	53	stu	xtu	utu
unique	254	Arkaine's Valor		1		upl	Balrog Skin	armor	elite	tors		85	76	-9	85	57	spl	xpl	upl
unique	257	Hellslayer		1		7bt	Decapitator	weapon	elite	axe	slam	80	73	-7	80	54	btx	9bt	7bt
unique	260	Schaefer's Hammer		1		7wh	Legendary Mallet	weapon	elite	hamm	1wep	83	82	-1	85	61	whm	9wh	7wh
unique	291	The Scalper		1		9ta	Francisca	weapon	exceptional	taxe	1wep	40	34	-6	47	22	tax	9ta	7ta
unique	295	Warshrike		1		7bk	winged knife	weapon	elite	tkni	1wep	83	77	-6	75	57	bkf	9bk	7bk
unique	297	Razor's Edge		1		7ha	tomahawk	weapon	elite	axe	1wep	60	54	-6	67	40	hax	9ha	7ha
unique	299	Demon Limb		1		7sp	tyrant club	weapon	elite	club	1wep	71	57	-14	75	42	spc	9sp	7sp
unique	301	Tomb Reaver		1		7pa	cryptic axe	weapon	elite	pole	slam	86	79	-7	84	59	pax	9pa	7pa
unique	304	Azurewrath		1		7cr	phase blade	weapon	elite	swor	1wep	85	73	-12	85	54	crs	9cr	7cr
unique	314	Tyrael's Might		1		uar	sacred armor	armor	elite	tors		87	85	-2	84	66	aar	xar	uar
unique	315	Soul Drainer		1		umg	vambraces	armor	elite	glov		82	69	-13	74	51	mgl	xmg	umg
unique	325	Mang Song's Lesson		1		6ws	archon staff	weapon	elite	staf	slam	86	85	-1	82	66	wst	8ws	6ws
unique	326	Viperfork		1		7br	war fork	weapon	elite	spea		75	74	-1	81	55	brn	9br	7br
unique	327	Ethereal Edge		1		7ba	silver-edged axe	weapon	elite	axe	slam	82	65	-17	81	48	bax	9ba	7ba
unique	332	Alma Negra		1		pac	sacred rondache	armor	elite	ashd		85	70	-15	77	52	pa2	pa7	pac
unique	335	Blood Raven's Charge		1		amb	matriarchal bow	weapon	elite	abow		81	53	-28	75	39	am1	am6	amb
unique	337	Shadow Killer		1		7cs	battle cestus	weapon	elite	h2h2	1wep	75	73	-2	78	54	ces	9cs	7cs
unique	338	Gimmershred		1		7ta	flying axe	weapon	elite	taxe	1wep	74	56	-18	80	42	tax	9ta	7ta
unique	340	Windhammer		1		7m7	ogre maul	weapon	elite	hamm	slam	81	69	-12	83	51	mau	9m9	7m7
unique	348	Andariel's Visage		1		usk	demonhead	armor	elite	helm		85	74	-11	83	55	msk	xsk	usk
unique	350	Dragonscale		1		pae	zakarum shield	armor	elite	ashd		84	82	-2	80	61	pa4	pa9	pae
unique	352	Medusa's Gaze		1		uow	aegis	armor	elite	shie		84	79	-5	76	59	tow	xow	uow
