table	line	name	set	spawnable	disabled	item_code	item_name	category	tier	type	type2	current_lvl	proposed_lvl	delta	current_lvl_req	base_levelreq	normal_code	exceptional_code	elite_code
set	87	Griswold's Honor	Griswold's Legacy	1		paf	Vortex Shield	armor	elite	ashd		44	85	41	68	66	pa5	paa	paf
set	246	Retribution	Brother Laz' Calling	1		pae	Zakarum Shield	armor	elite	ashd		60	82	22	69	61	pa4	pa9	pae
set	102	Credendum	The Disciple	1		umc	Mithril Coil	armor	elite	belt		39	75	36	65	56	mbl	zmb	umc
set	393	Girdle of Kitthix	Tika's Request	1		uhc	Colossus Girdle	armor	elite	belt		60	85	25	75	67	hbl	zhb	uhc
set	416	Imperial Girdle	Path of Bravery	1		uhc	Colossus Girdle	armor	elite	belt		60	85	25	75	67	hbl	zhb	uhc
set	411	Helghast Waistband	Kai Lord's Valiance	1		utc	Troll Belt	armor	elite	belt		60	82	22	77	62	tbl	ztb	utc
set	92	Trang-Oul's Girth	Trang-Oul's Avatar	1		utc	Troll Belt	armor	elite	belt		60	82	22	70	62	tbl	ztb	utc
set	251	Spin's Mystery	The Mysterious Spin	1		ulc	Spiderweb Sash	armor	elite	belt		40	61	21	46	46	lbl	zlb	ulc
set	348	Born Supremacy	Gweibret's Rule	1		umc	Mithril Coil	armor	elite	belt		60	75	15	70	56	mbl	zmb	umc
set	263	Winter's Discord	Phrozen Heart's Mysticism	1		uvc	Vampirefang Belt	armor	elite	belt		60	68	8	75	51	vbl	zvb	uvc
set	273	Chiad's Valor	Aiel Shieldmaiden	1		ulc	Spiderweb Sash	armor	elite	belt		60	61	1	74	46	lbl	zlb	ulc
set	383	Citadel Belt	Warlock's Exploration	1		ulc	Spiderweb Sash	armor	elite	belt		60	61	1	66	46	lbl	zlb	ulc
set	455	Shackles of the Veiled Belt	Deus et Diabolus	1		uvc	Vampirefang Belt	armor	elite	belt		80	68	-12	80	51	vbl	zvb	uvc
set	141	Horazon's Legacy	Horazon's Splendor	1		utb	Mirrored Boots	armor	elite	boot		40	81	41	67	60	tbt	xtb	utb
set	417	Imperial Greaves	Path of Bravery	1		uhb	Myrmidon Greaves	armor	elite	boot		60	85	25	77	65	hbt	xhb	uhb
set	239	Onyx's Fallen Star	Onyx's Primal Rage	1		uhb	Myrmidon Greaves	armor	elite	boot		60	85	25	77	65	hbt	xhb	uhb
set	427	Dominion	Celestial Hierarchy	1		utb	Mirrored Boots	armor	elite	boot		60	81	21	70	60	tbt	xtb	utb
set	280	Evil Reputation	Nefarious Ways	1		utb	Mirrored Boots	armor	elite	boot		60	81	21	76	60	tbt	xtb	utb
set	323	Andariel's Hooves	Marhawkman's Disguise	1		umb	Boneweave Boots	armor	elite	boot		60	72	12	72	54	mbt	xmb	umb
set	256	Darkmage's Super Nova	Darkmage's Astral Projection	1		umb	Boneweave Boots	armor	elite	boot		60	72	12	74	54	mbt	xmb	umb
set	368	Harvest of Cruelty	Wrath of Vengeance	1		uvb	Scarabshell Boots	armor	elite	boot		60	66	6	67	49	vbt	xvb	uvb
set	267	Treads of Energy	Chaos Energy	1		uvb	Scarabshell Boots	armor	elite	boot		60	66	6	74	49	vbt	xvb	uvb
set	457	Steps Etched in Ash	Deus et Diabolus	1		umb	Boneweave Boots	armor	elite	boot		70	72	2	78	54	mbt	xmb	umb
set	93	M'avina's True Sight	M'avina's Battle Hymn	1		ci3	Diadem	armor	elite	circ		21	85	64	59	64	ci1	ci2	ci3
set	381	Lilarcors Crown	Warlock's Exploration	1		ci3	Diadem	armor	elite	circ		60	85	25	64	64	ci1	ci2	ci3
set	418	Imperial Gauntlets	Path of Bravery	1		uhg	Ogre Gauntlets	armor	elite	glov		60	85	25	76	64	hgl	xhg	uhg
set	277	Myhrginoc's Deathmonger	Myhrginoc's Warbreeder	1		uhg	Ogre Gauntlets	armor	elite	glov		60	85	25	79	64	hgl	xhg	uhg
set	99	Laying of Hands	The Disciple	1		ulg	Bramble Mitts	armor	elite	glov		39	57	18	63	42	lgl	xlg	ulg
set	247	Glory of Salvation	Brother Laz' Calling	1		utg	Crusader Gauntlets	armor	elite	glov		60	76	16	74	57	tgl	xtg	utg
set	437	Maadi's Silence	Maadi's Paradox	1		uvg	Vampirebone gloves	armor	elite	glov		47	63	16	47	47	vgl	xvg	uvg
set	344	Martyr's Principle	Soldier's Cairn	1		utg	Crasader Gauntlets	armor	elite	glov		60	76	16	73	57	tgl	xtg	utg
set	354	Revenant's Claw	Haunted Asylum	1		utg	Crusader Gauntlets	armor	elite	glov		60	76	16	72	57	tgl	xtg	utg
set	255	Darkmage's Solar Flair	Darkmage's Astral Projection	1		umg	Vambraces	armor	elite	glov		60	69	9	70	51	mgl	xmg	umg
set	369	Guiding Force	Wrath of Vengeance	1		umg	Vambraces	armor	elite	glov		60	69	9	71	51	mgl	xmg	umg
set	322	Andariel's Claw	Marhawkman's Disguise	1		uvg	Vampirebone Gloves	armor	elite	glov		60	63	3	69	47	vgl	xvg	uvg
set	261	Dawns Mist	Phrozen Heart's Mysticism	1		uvg	Vampirebone gloves	armor	elite	glov		60	63	3	74	47	vgl	xvg	uvg
set	382	Teleomortis' Gloves	Warlock's Exploration	1		ulg	Bramble Mitts	armor	elite	glov		60	57	-3	75	42	lgl	xlg	ulg
set	142	Horazon's Secrets	Horazon's Splendor	1		wad	Occult Codex	armor	elite	grim		40	66	26	57	50	wa3	wa8	wad
set	380	Tome of the Abyss	Warlock's Exploration	1		wac	Occult Tome	armor	elite	grim		50	67	17	60	49	wa2	wa7	wac
set	266	Chaotic Shield	Chaos Energy	1		nef	Bloodlord Skull	armor	elite	head		60	85	25	83	65	ne5	nea	nef
set	441	Maadi's Soul	Maadi's Paradox	1		ned	Overseer Skull	armor	elite	head		49	66	17	49	49	ne3	ne8	ned
set	84	Griswold's Valor	Griswold's Legacy	1		urn	Corona	armor	elite	helm		44	85	41	69	66	crn	xrn	urn
set	138	Horazon's Countenance	Horazon's Splendor	1		usk	Demonhead	armor	elite	helm		40	74	34	62	55	msk	xsk	usk
set	244	Teachings of Brother Laz	Brother Laz' Calling	1		urn	Corona	armor	elite	helm		60	85	25	81	66	crn	xrn	urn
set	289	Blood Raven's Pain	Blood Raven's Despair	1		uh9	Bone Visage	armor	elite	helm		60	84	24	73	63	bhm	xh9	uh9
set	292	Char's Grimace of Death	Narrow Path Between Light and Darkness	1		usk	Demonhead	armor	elite	helm		50	74	24	55	55	msk	xsk	usk
set	106	Ondal's Almighty	Heaven's Brethren	1		uhm	Spired Helm	armor	elite	helm		55	79	24	69	59	ghm	xhm	uhm
set	438	Maadi's Vision	Maadi's Paradox	1		uh9	Bone Visage	armor	elite	helm		63	84	21	63	63	bhm	xh9	uh9
set	376	Windspar Mask	Kaldorn's Majesty	1		uhm	Spired Helm	armor	elite	helm		60	79	19	74	59	ghm	xhm	uhm
set	281	Noxious Whispers	Nefarious Ways	1		usk	Demonhead	armor	elite	helm		60	74	14	70	55	msk	xsk	usk
set	88	Trang-Oul's Guise	Trang-Oul's Avatar	1		uh9	Bone Visage	armor	elite	helm		70	84	14	80	63	bhm	xh9	uh9
set	428	Cherubim	Celestial Hierarchy	1		ulm	Armet	armor	elite	helm		60	68	8	61	51	hlm	xlm	ulm
set	276	Myhrginoc's Crimson Crusader	Myhrginoc's Warbreeder	1		ulm	Armet	armor	elite	helm		60	68	8	70	51	hlm	xlm	ulm
set	265	Guiding Focus	Chaos Energy	1		ukp	Hydroskull	armor	elite	helm		60	63	3	69	47	skp	xkp	ukp
set	403	Helm of Chivalry	Knight's Gallantry	1		ukp	Hydraskull	armor	elite	helm		60	63	3	60	47	skp	xkp	ukp
set	258	Darkmage's Celestial Fury	Darkmage's Astral Projection	1		uap	Shako	armor	elite	helm		60	58	-2	80	43	cap	xap	uap
set	300	Kingpin's Crown	Treasure Hunter	1		uap	Shako	armor	elite	helm		60	58	-2	61	43	cap	xap	uap
set	353	Haunted Wisdom	Haunted Asylum	1		uhl	Giant Conch	armor	elite	helm		60	54	-6	65	40	fhl	xhl	uhl
set	397	Yavin's Infernal Visage	Corthala Family Heirlooms	1		uhl	Giant Conch	armor	elite	helm		60	54	-6	81	40	fhl	xhl	uhl
set	243	Onyx's Celestial Rage	Onyx's Primal Rage	1		baf	Guardian Crown	armor	elite	phlm		60	85	25	79	65	ba5	baa	baf
set	454	Panda's Sled	Panda's Polar Adventure	1		uow	Aegis	armor	elite	shie		50	79	29	60	59	tow	xow	uow
set	252	Spin's Conundrum	The Mysterious Spin	1		uow	Aegis	armor	elite	shie		50	79	29	59	59	tow	xow	uow
set	104	Taebaek's Glory	Heaven's Brethren	1		uts	Ward	armor	elite	shie		55	84	29	81	63	gts	xts	uts
set	283	Calming Peace	Kraj's Memorial	1		uow	Aegis	armor	elite	shie		60	79	19	83	59	tow	xow	uow
set	332	Between Fire and Ice	Bogrot's Magic	1		urg	Hyperion	armor	elite	shie		48	64	16	48	54	lrg	xrg	urg
set	288	Throws of Hatred	The Darkest Weaves	1		ush	Troll Nest	armor	elite	shie		60	76	16	78	57	bsh	xsh	ush
set	270	Chiad's Wall	Aiel Shieldmaiden	1		uit	Monarch	armor	elite	shie		60	72	12	73	54	kit	xit	uit
set	315	Elysian Fields	The Warlord of Blood	1		upk	Blade Barrier	armor	elite	shie		60	68	8	68	51	spk	xpk	upk
set	386	Holy Buckler of Amaunator	Amaunator's Peace	1		uml	Luna	armor	elite	shie		60	61	1	65	45	sml	xml	uml
set	318	Lich's Rites	Darque Necromancy	1		uuc	Heater	armor	elite	shie		60	58	-2	63	43	buc	xuc	uuc
set	340	Taint of Saidin	Dragon Reborn	1		uuc	Heater	armor	elite	shie		60	58	-2	67	43	buc	xuc	uuc
