table	line	name	set	code	item_name	current_lvl	current_lvl_req	reason
set	3	Civerb's Icon	Civerb's Vestments	amu	Amulet	1	9	not_weapon_or_armor_with_normal_exceptional_elite_base
set	11	Iratha's Collar	Iratha's Finery	amu	Amulet	10	15	not_weapon_or_armor_with_normal_exceptional_elite_base
set	22	Vidala's Snare	Vidala's Rig	amu	Amulet	10	14	not_weapon_or_armor_with_normal_exceptional_elite_base
set	30	Cathan's Sigil	Cathan's Traps	amu	Amulet	1	11	not_weapon_or_armor_with_normal_exceptional_elite_base
set	31	Cathan's Seal	Cathan's Traps	rin	Ring	1	11	not_weapon_or_armor_with_normal_exceptional_elite_base
set	35	Tancred's Weird	Tancred's Battlegear	amu	Amulet	12	20	not_weapon_or_armor_with_normal_exceptional_elite_base
set	54	Angelic Halo	Angelic Raiment	rin	Ring	1	12	not_weapon_or_armor_with_normal_exceptional_elite_base
set	55	Angelic Wings	Angelic Raiment	amu	Amulet	1	12	not_weapon_or_armor_with_normal_exceptional_elite_base
set	60	Arcanna's Sign	Arcanna's Tricks	amu	Amulet	12	15	not_weapon_or_armor_with_normal_exceptional_elite_base
set	64	Expansion						not_weapon_or_armor_with_normal_exceptional_elite_base
set	80	Tal Rasha's Adjudication	Tal Rasha's Wrappings	amu	Amulet	26	67	not_weapon_or_armor_with_normal_exceptional_elite_base
set	98	Telling of Beads	The Disciple	amu	Amulet	39	30	not_weapon_or_armor_with_normal_exceptional_elite_base
set	147	Peace Ring	Nature's Grove	rin	Ring	12	12	not_weapon_or_armor_with_normal_exceptional_elite_base
set	160	Sheena's Choker	Sheena's Grace	amu	Amulet	12	12	not_weapon_or_armor_with_normal_exceptional_elite_base
set	178	Ruby Ring	Snowmane's Jewelry	rin	Ring	22	22	not_weapon_or_armor_with_normal_exceptional_elite_base
set	179	Diamond Necklace	Snowmane's Jewelry	amu	Amulet	22	22	not_weapon_or_armor_with_normal_exceptional_elite_base
set	192	Brother Laz' Holy Symbol	Insight of Brother Laz	amu	Amulet	30	40	not_weapon_or_armor_with_normal_exceptional_elite_base
set	197	Vampire's Crusade	Hades' Underworld	rin	Ring	30	39	not_weapon_or_armor_with_normal_exceptional_elite_base
